a,b,c,d,e,f
0,0,0,4.22,6.376,37.75
16,0,1.343,4.22,6.376,37.75
208,0,2.615,4.22,6.376,37.75
400,-0.025,2.958,4.22,6.376,37.75
592,-0.025,3.283,4.22,6.376,37.75
784,-0.051,3.754,4.22,6.376,37.75
976,-0.051,4.217,4.22,6.376,37.75
1168,-0.076,4.724,4.22,6.376,37.75
1359,-0.076,5.315,4.22,6.376,37.75
1552,-0.102,5.862,4.22,6.376,37.75
1744,-0.102,6.325,4.22,6.376,37.75
1935,-0.127,6.832,4.22,6.376,37.75
2143,-0.152,7.499,4.22,6.376,37.75
2351,-0.152,8.118,4.22,6.376,37.75
2559,-0.178,8.513,4.22,6.376,37.75
2767,-0.203,9.012,4.22,6.376,37.75
2975,-0.203,9.599,4.22,6.376,37.75
3183,-0.229,9.981,4.22,6.376,37.75
3391,-0.229,10.644,4.22,6.376,37.75
3599,-0.254,11.4,4.22,6.376,37.75
3807,-0.279,11.729,4.22,6.376,37.75
4015,-0.279,12.815,4.22,6.376,37.75
4223,-0.305,13.735,4.22,6.376,37.75
4431,-0.305,14.492,4.22,6.376,37.75
4639,-0.33,15.697,4.22,6.376,37.75
4847,-0.356,15.982,4.22,6.376,37.75
5055,-0.356,16.938,4.22,6.376,37.75
5262,-0.381,17.979,4.22,6.376,37.75
5470,-0.406,18.344,4.22,6.376,37.75
5678,-0.406,19.34,4.22,6.376,37.75
5886,-0.432,20.581,4.22,6.376,37.75
6094,-0.432,21.239,4.22,6.376,37.75
6302,-0.457,22.48,4.22,6.376,37.75
6510,-0.483,23.548,4.22,6.376,37.75
6718,-0.483,24.695,4.22,6.376,37.75
6926,-0.508,26.212,4.22,6.376,37.75
7135,-0.533,27.4,4.22,6.376,37.75
7343,-0.533,28.747,4.22,6.376,37.75
7551,-0.559,29.819,4.22,6.376,37.75
7759,-0.559,31.243,4.22,6.376,37.75
7967,-0.584,32.626,4.22,6.376,37.75
8174,-0.61,33.64,4.22,6.376,37.75
8383,-0.61,35.148,4.22,6.376,37.75
8590,-0.635,36.309,4.22,6.376,37.75
8798,-0.635,37.368,4.22,6.376,37.75
9006,-0.66,38.689,4.22,6.376,37.75
9214,-0.686,39.952,4.22,6.376,37.75
9422,-0.686,40.793,4.22,6.376,37.75
9630,-0.711,42.314,4.22,6.376,37.75
9838,-0.737,43.288,4.22,6.376,37.75
10046,-0.737,44.471,4.22,6.376,37.75
10254,-0.762,46.206,4.22,6.376,37.75
10462,-0.762,47.046,4.22,6.376,37.75
10654,-0.787,48.443,4.22,6.376,37.75
10846,-0.813,49.804,4.22,6.376,37.75
11038,-0.813,50.382,4.22,6.376,37.75
11230,-0.838,51.463,4.22,6.376,37.75
11422,-0.838,52.188,4.22,6.376,37.75
11614,-0.864,53.389,4.22,6.376,37.75
11806,-0.864,54.648,4.22,6.376,37.75
11997,-0.889,55.805,4.22,6.376,37.75
12189,-0.914,58.198,4.22,6.376,37.75
12381,-0.914,59.879,4.22,6.376,37.75
12573,-0.94,61.854,4.22,6.376,37.75
12765,-0.94,64.162,4.22,6.376,37.75
12957,-0.965,65.942,4.22,6.376,37.75
13149,-0.965,68.232,4.22,6.376,37.75
13341,-0.991,70.252,4.22,6.376,37.75
13533,-0.991,72.796,4.22,6.376,37.75
13725,-1.016,75.064,4.22,6.376,37.75
13933,-1.041,77.275,4.22,6.376,37.75
14141,-1.041,79.539,4.22,6.376,37.75
14349,-1.067,82.261,4.22,6.376,37.75
14557,-1.067,84.499,4.22,6.376,37.75
14765,-1.092,86.723,4.22,6.376,37.75
14973,-1.118,89.334,4.22,6.376,37.75
15181,-1.118,91.415,4.22,6.376,37.75
15389,-1.143,93.879,4.22,6.376,37.75
15597,-1.143,96.384,4.22,6.376,37.75
15804,-1.168,98.403,4.22,6.376,37.75
16012,-1.168,100.987,4.22,6.376,37.75
16220,-1.194,103.26,4.22,6.376,37.75
16428,-1.219,105.44,4.22,6.376,37.75
16636,-1.219,107.935,4.22,6.376,37.75
16844,-1.245,110.591,4.22,6.376,37.75
