a,b,c,d,e,f
17052,-1.245,112.352,4.22,6.376,37.75
17260,-1.27,115.079,4.22,6.376,37.75
17468,-1.295,117.436,4.22,6.376,37.75
17676,-1.295,119.362,4.22,6.376,37.75
17884,-1.321,121.844,4.22,6.376,37.75
18092,-1.321,123.917,4.22,6.376,37.75
18300,-1.346,126.19,4.22,6.376,37.75
18508,-1.372,128.694,4.22,6.376,37.75
18716,-1.372,130.727,4.22,6.376,37.75
18924,-1.397,132.871,4.22,6.376,37.75
19132,-1.397,135.032,4.22,6.376,37.75
19339,-1.422,137.465,4.22,6.376,37.75
19547,-1.448,139.676,4.22,6.376,37.75
19755,-1.448,141.678,4.22,6.376,37.75
19963,-1.473,144.102,4.22,6.376,37.75
20171,-1.473,146.028,4.22,6.376,37.75
20379,-1.499,148.003,4.22,6.376,37.75
20587,-1.524,150.44,4.22,6.376,37.75
20795,-1.524,152.268,4.22,6.376,37.75
21003,-1.549,154.479,4.22,6.376,37.75
21211,-1.549,156.823,4.22,6.376,37.75
21419,-1.575,158.469,4.22,6.376,37.75
21627,-1.6,160.622,4.22,6.376,37.75
21835,-1.6,162.984,4.22,6.376,37.75
22043,-1.626,164.416,4.22,6.376,37.75
22251,-1.626,166.849,4.22,6.376,37.75
22459,-1.651,169.135,4.22,6.376,37.75
22667,-1.676,170.443,4.22,6.376,37.75
22874,-1.676,172.796,4.22,6.376,37.75
23082,-1.702,175.042,4.22,6.376,37.75
23290,-1.702,176.279,4.22,6.376,37.75
23498,-1.727,178.645,4.22,6.376,37.75
23706,-1.753,180.504,4.22,6.376,37.75
23898,-1.753,181.852,4.22,6.376,37.75
24090,-1.778,183.92,4.22,6.376,37.75
24282,-1.778,185.482,4.22,6.376,37.75
24474,-1.803,187.056,4.22,6.376,37.75
24667,-1.829,189.133,4.22,6.376,37.75
24859,-1.829,190.41,4.22,6.376,37.75
25051,-1.854,191.976,4.22,6.376,37.75
25243,-1.854,193.408,4.22,6.376,37.75
25435,-1.88,195.023,4.22,6.376,37.75
25627,-1.88,196.971,4.22,6.376,37.75
25819,-1.905,198.31,4.22,6.376,37.75
26010,-1.93,199.933,4.22,6.376,37.75
26202,-1.93,201.53,4.22,6.376,37.75
26394,-1.956,202.344,4.22,6.376,37.75
26586,-1.956,204.15,4.22,6.376,37.75
26779,-1.981,205.538,4.22,6.376,37.75
26986,-1.981,206.707,4.22,6.376,37.75
27178,-2.007,208.611,4.22,6.376,37.75
27370,-2.032,209.892,4.22,6.376,37.75
27578,-2.032,211.026,4.22,6.376,37.75
27786,-2.057,212.886,4.22,6.376,37.75
27994,-2.057,213.873,4.22,6.376,37.75
28202,-2.083,214.936,4.22,6.376,37.75
28410,-2.108,216.609,4.22,6.376,37.75
28618,-2.108,217.378,4.22,6.376,37.75
28826,-2.134,218.361,4.22,6.376,37.75
29034,-2.159,220.025,4.22,6.376,37.75
29242,-2.159,220.75,4.22,6.376,37.75
29449,-2.184,221.697,4.22,6.376,37.75
29658,-2.184,223.152,4.22,6.376,37.75
29865,-2.21,223.494,4.22,6.376,37.75
30073,-2.235,224.437,4.22,6.376,37.75
30281,-2.235,225.95,4.22,6.376,37.75
30489,-2.261,226.132,4.22,6.376,37.75
30697,-2.286,227.088,4.22,6.376,37.75
30905,-2.286,228.383,4.22,6.376,37.75
31113,-2.311,228.431,4.22,6.376,37.75
31321,-2.337,229.121,4.22,6.376,37.75
31529,-2.337,230.073,4.22,6.376,37.75
31737,-2.362,230.228,4.22,6.376,37.75
31945,-2.388,231.038,4.22,6.376,37.75
32153,-2.388,231.923,4.22,6.376,37.75
32361,-2.413,232.025,4.22,6.376,37.75
32569,-2.413,232.55,4.22,6.376,37.75
32777,-2.438,233.262,4.22,6.376,37.75
32984,-2.464,233.48,4.22,6.376,37.75
33192,-2.464,233.738,4.22,6.376,37.75
33400,-2.489,234.641,4.22,6.376,37.75
33608,-2.515,234.641,4.22,6.376,37.75
33816,-2.515,234.708,4.22,6.376,37.75
34024,-2.54,235.553,4.22,6.376,37.75
34232,-2.565,235.326,4.22,6.376,37.75
34440,-2.565,235.384,4.22,6.376,37.75
34648,-2.591,236.251,4.22,6.376,37.75
34856,-2.616,235.869,4.22,6.376,37.75
35064,-2.616,235.797,4.22,6.376,37.75
35272,-2.642,236.278,4.22,6.376,37.75
35480,-2.642,235.673,4.22,6.376,37.75
35688,-2.667,235.517,4.22,6.376,37.75
35896,-2.692,235.962,4.22,6.376,37.75
36104,-2.692,234.983,4.22,6.376,37.75
36312,-2.718,234.761,4.22,6.376,37.75
36519,-2.743,235.099,4.22,6.376,37.75
36727,-2.743,234.005,4.22,6.376,37.75
36935,-2.769,233.889,4.22,6.376,37.75
37143,-2.794,234.018,4.22,6.376,37.75
37351,-2.794,232.786,4.22,6.376,37.75
37559,-2.819,232.435,4.22,6.376,37.75
37751,-2.845,231.834,4.22,6.376,37.75
37943,-2.845,231.211,4.22,6.376,37.75
38135,-2.87,230.744,4.22,6.376,37.75
38327,-2.87,229.744,4.22,6.376,37.75
38519,-2.896,229.21,4.22,6.376,37.75
38711,-2.921,228.614,4.22,6.376,37.75
38903,-2.921,227.03,4.22,6.376,37.75
39095,-2.946,226.421,4.22,6.376,37.75
39287,-2.972,225.167,4.22,6.376,37.75
39479,-2.972,224.095,4.22,6.376,37.75
39671,-2.997,222.88,4.22,6.376,37.75
39862,-2.997,219.696,4.22,6.376,37.75
40054,-3.023,217.761,4.22,6.376,37.75
40246,-3.048,215.755,4.22,6.376,37.75
40438,-3.048,214.251,4.22,6.376,37.75
40630,-3.073,213.086,4.22,6.376,37.75
40822,-3.099,211.6,4.22,6.376,37.75
41014,-3.099,210.546,4.22,6.376,37.75
41206,-3.124,208.696,4.22,6.376,37.75
41398,-3.353,0.245,4.22,6.376,37.75
41606,-3.378,0.067,4.22,6.376,37.75
41814,-3.404,0.022,4.22,6.376,37.75
42006,-3.404,0.027,4.22,6.376,37.75
42215,-3.429,-0.018,4.22,6.376,37.75
42423,-3.454,-0.062,4.22,6.376,37.75
42631,-3.454,-0.013,4.22,6.376,37.75
42839,-3.48,-0.098,4.22,6.376,37.75
43047,-3.505,-0.102,4.22,6.376,37.75
43255,-3.505,-0.013,4.22,6.376,37.75
43462,-3.531,-0.053,4.22,6.376,37.75
43670,-3.556,-0.062,4.22,6.376,37.75
43878,-3.556,-0.098,4.22,6.376,37.75
