a,b,c,d,e,f
0,0,0,2.18,3.58,37.75
16,0,2.744,2.18,3.58,37.75
224,0,3.678,2.18,3.58,37.75
431,-0.025,4.43,2.18,3.58,37.75
639,-0.051,5.32,2.18,3.58,37.75
847,-0.051,5.827,2.18,3.58,37.75
1055,-0.076,6.325,2.18,3.58,37.75
1263,-0.076,6.992,2.18,3.58,37.75
1471,-0.102,7.539,2.18,3.58,37.75
1679,-0.102,8.309,2.18,3.58,37.75
1887,-0.127,8.932,2.18,3.58,37.75
2095,-0.127,9.519,2.18,3.58,37.75
2303,-0.152,10.106,2.18,3.58,37.75
2511,-0.178,10.902,2.18,3.58,37.75
2720,-0.178,11.52,2.18,3.58,37.75
2928,-0.203,12.45,2.18,3.58,37.75
3136,-0.229,13.197,2.18,3.58,37.75
3344,-0.229,13.98,2.18,3.58,37.75
3552,-0.254,14.825,2.18,3.58,37.75
3759,-0.254,15.568,2.18,3.58,37.75
3967,-0.279,16.262,2.18,3.58,37.75
4175,-0.279,17.014,2.18,3.58,37.75
4383,-0.305,17.974,2.18,3.58,37.75
4591,-0.33,18.713,2.18,3.58,37.75
4783,-0.33,19.42,2.18,3.58,37.75
4975,-0.356,20.207,2.18,3.58,37.75
5167,-0.356,20.781,2.18,3.58,37.75
5359,-0.381,21.519,2.18,3.58,37.75
5551,-0.406,22.262,2.18,3.58,37.75
5743,-0.406,23.045,2.18,3.58,37.75
5935,-0.432,23.912,2.18,3.58,37.75
6127,-0.432,24.397,2.18,3.58,37.75
6319,-0.457,25.26,2.18,3.58,37.75
6511,-0.457,25.918,2.18,3.58,37.75
6703,-0.483,26.572,2.18,3.58,37.75
6895,-0.508,27.44,2.18,3.58,37.75
7086,-0.508,28.076,2.18,3.58,37.75
7294,-0.533,28.908,2.18,3.58,37.75
7502,-0.533,29.673,2.18,3.58,37.75
7710,-0.559,30.455,2.18,3.58,37.75
7918,-0.584,31.109,2.18,3.58,37.75
8126,-0.584,31.959,2.18,3.58,37.75
8334,-0.61,32.693,2.18,3.58,37.75
8542,-0.61,33.262,2.18,3.58,37.75
8750,-0.635,34.072,2.18,3.58,37.75
8958,-0.66,34.677,2.18,3.58,37.75
9166,-0.66,35.411,2.18,3.58,37.75
9374,-0.686,36.18,2.18,3.58,37.75
9582,-0.711,36.785,2.18,3.58,37.75
9790,-0.711,37.474,2.18,3.58,37.75
9997,-0.737,38.199,2.18,3.58,37.75
10206,-0.737,38.604,2.18,3.58,37.75
10414,-0.762,39.334,2.18,3.58,37.75
10621,-0.787,40.014,2.18,3.58,37.75
10829,-0.787,40.499,2.18,3.58,37.75
11037,-0.813,40.975,2.18,3.58,37.75
11245,-0.838,41.767,2.18,3.58,37.75
11453,-0.838,42.02,2.18,3.58,37.75
11661,-0.864,42.679,2.18,3.58,37.75
11869,-0.864,43.146,2.18,3.58,37.75
12077,-0.889,43.577,2.18,3.58,37.75
12285,-0.914,44.022,2.18,3.58,37.75
12493,-0.914,44.458,2.18,3.58,37.75
12701,-0.94,44.934,2.18,3.58,37.75
12909,-0.965,45.343,2.18,3.58,37.75
13117,-0.965,45.854,2.18,3.58,37.75
13325,-0.991,46.215,2.18,3.58,37.75
13533,-1.016,46.619,2.18,3.58,37.75
13741,-1.016,47.144,2.18,3.58,37.75
13949,-1.041,47.411,2.18,3.58,37.75
14156,-1.067,47.74,2.18,3.58,37.75
14364,-1.067,48.19,2.18,3.58,37.75
14572,-1.092,48.47,2.18,3.58,37.75
14780,-1.118,48.732,2.18,3.58,37.75
14988,-1.118,49.368,2.18,3.58,37.75
15196,-1.143,49.475,2.18,3.58,37.75
15404,-1.143,49.724,2.18,3.58,37.75
15612,-1.168,50.133,2.18,3.58,37.75
15820,-1.194,50.458,2.18,3.58,37.75
16012,-1.194,50.605,2.18,3.58,37.75
16204,-1.219,50.796,2.18,3.58,37.75
16396,-1.245,51.063,2.18,3.58,37.75
16588,-1.245,51.641,2.18,3.58,37.75
16780,-1.27,51.632,2.18,3.58,37.75
16972,-1.27,51.868,2.18,3.58,37.75
17163,-1.295,51.979,2.18,3.58,37.75
17356,-1.321,52.26,2.18,3.58,37.75
17548,-1.321,52.611,2.18,3.58,37.75
17739,-1.346,52.718,2.18,3.58,37.75
17931,-1.346,52.896,2.18,3.58,37.75
18123,-1.372,52.993,2.18,3.58,37.75
18315,-1.397,53.207,2.18,3.58,37.75
18507,-1.397,53.447,2.18,3.58,37.75
18699,-1.422,53.567,2.18,3.58,37.75
18891,-1.422,53.807,2.18,3.58,37.75
19099,-1.448,53.914,2.18,3.58,37.75
19291,-1.473,54.079,2.18,3.58,37.75
19499,-1.473,54.15,2.18,3.58,37.75
19707,-1.499,54.421,2.18,3.58,37.75
19915,-1.524,54.51,2.18,3.58,37.75
20124,-1.524,54.661,2.18,3.58,37.75
20332,-1.549,54.951,2.18,3.58,37.75
20540,-1.575,54.942,2.18,3.58,37.75
20747,-1.575,55.142,2.18,3.58,37.75
20955,-1.6,55.298,2.18,3.58,37.75
21163,-1.626,55.298,2.18,3.58,37.75
21371,-1.626,55.373,2.18,3.58,37.75
21579,-1.651,55.702,2.18,3.58,37.75
21787,-1.676,55.653,2.18,3.58,37.75
21995,-1.676,55.809,2.18,3.58,37.75
22203,-1.702,55.978,2.18,3.58,37.75
22411,-1.727,55.889,2.18,3.58,37.75
22619,-1.727,56.049,2.18,3.58,37.75
22827,-1.753,56.125,2.18,3.58,37.75
23035,-1.778,56.169,2.18,3.58,37.75
23243,-1.778,56.352,2.18,3.58,37.75
23451,-1.803,56.361,2.18,3.58,37.75
23659,-1.829,56.361,2.18,3.58,37.75
23867,-1.829,56.601,2.18,3.58,37.75
24075,-1.854,56.543,2.18,3.58,37.75
24283,-1.88,56.676,2.18,3.58,37.75
24490,-1.88,56.716,2.18,3.58,37.75
24698,-1.905,56.788,2.18,3.58,37.75
24906,-1.93,56.792,2.18,3.58,37.75
25114,-1.93,56.788,2.18,3.58,37.75
25322,-1.956,56.943,2.18,3.58,37.75
25530,-1.981,56.957,2.18,3.58,37.75
25738,-1.981,56.979,2.18,3.58,37.75
25946,-2.007,57.103,2.18,3.58,37.75
26154,-2.032,57.068,2.18,3.58,37.75
26362,-2.032,57.108,2.18,3.58,37.75
26570,-2.057,57.366,2.18,3.58,37.75
26778,-2.083,57.183,2.18,3.58,37.75
26970,-2.083,57.312,2.18,3.58,37.75
27162,-2.108,57.344,2.18,3.58,37.75
27370,-2.134,57.224,2.18,3.58,37.75
27577,-2.134,57.344,2.18,3.58,37.75
27769,-2.159,57.384,2.18,3.58,37.75
27962,-2.184,57.384,2.18,3.58,37.75
28153,-2.184,57.504,2.18,3.58,37.75
28345,-2.21,57.464,2.18,3.58,37.75
28537,-2.21,57.593,2.18,3.58,37.75
28729,-2.235,57.455,2.18,3.58,37.75
28921,-2.261,57.619,2.18,3.58,37.75
29113,-2.261,57.708,2.18,3.58,37.75
29305,-2.286,57.619,2.18,3.58,37.75
29497,-2.311,57.704,2.18,3.58,37.75
29689,-2.311,57.579,2.18,3.58,37.75
29881,-2.337,57.544,2.18,3.58,37.75
30073,-2.337,57.744,2.18,3.58,37.75
30281,-2.362,57.704,2.18,3.58,37.75
30489,-2.388,57.619,2.18,3.58,37.75
30697,-2.388,57.735,2.18,3.58,37.75
30905,-2.413,57.815,2.18,3.58,37.75
31112,-2.438,57.704,2.18,3.58,37.75
31320,-2.464,57.855,2.18,3.58,37.75
31528,-2.464,57.691,2.18,3.58,37.75
31736,-2.489,57.775,2.18,3.58,37.75
31944,-2.515,57.94,2.18,3.58,37.75
32152,-2.515,57.895,2.18,3.58,37.75
32360,-2.54,57.815,2.18,3.58,37.75
32568,-2.565,57.94,2.18,3.58,37.75
32776,-2.565,57.766,2.18,3.58,37.75
32984,-2.591,57.94,2.18,3.58,37.75
33192,-2.616,58.051,2.18,3.58,37.75
33400,-2.616,57.971,2.18,3.58,37.75
33608,-2.642,58.011,2.18,3.58,37.75
33816,-2.667,58.091,2.18,3.58,37.75
34024,-2.667,58.011,2.18,3.58,37.75
34232,-2.692,58.051,2.18,3.58,37.75
34440,-2.718,58.126,2.18,3.58,37.75
34647,-2.718,58.086,2.18,3.58,37.75
34855,-2.743,58.18,2.18,3.58,37.75
35063,-2.769,58.22,2.18,3.58,37.75
35271,-2.769,58.126,2.18,3.58,37.75
35479,-2.794,58.171,2.18,3.58,37.75
35687,-2.819,58.171,2.18,3.58,37.75
35895,-2.819,58.202,2.18,3.58,37.75
36103,-2.845,58.091,2.18,3.58,37.75
36311,-2.87,58.131,2.18,3.58,37.75
36519,-2.87,58.109,2.18,3.58,37.75
36727,-2.896,58.086,2.18,3.58,37.75
36935,-2.921,58.211,2.18,3.58,37.75
37127,-2.921,58.118,2.18,3.58,37.75
37319,-2.946,58.126,2.18,3.58,37.75
37511,-2.946,58.011,2.18,3.58,37.75
37720,-2.972,1.601,2.18,3.58,37.75
37928,-3.073,1.517,2.18,3.58,37.75
38119,-3.073,1.601,2.18,3.58,37.75
38311,-3.099,1.428,2.18,3.58,37.75
38503,-3.124,1.472,2.18,3.58,37.75
38695,-3.124,1.472,2.18,3.58,37.75
38887,-3.15,1.512,2.18,3.58,37.75
39079,-3.15,1.557,2.18,3.58,37.75
39271,-3.175,1.646,2.18,3.58,37.75
