a,b,c,d,e,f
12158,-0.914,46.135,2.39,3.86,37.75
12366,-0.914,46.966,2.39,3.86,37.75
12573,-0.94,48.007,2.39,3.86,37.75
12781,-0.965,48.599,2.39,3.86,37.75
12973,-0.965,49.404,2.39,3.86,37.75
13165,-0.991,50.165,2.39,3.86,37.75
13357,-0.991,50.623,2.39,3.86,37.75
13549,-1.016,51.334,2.39,3.86,37.75
13741,-1.041,51.926,2.39,3.86,37.75
13933,-1.041,52.735,2.39,3.86,37.75
14125,-1.067,53.323,2.39,3.86,37.75
14317,-1.067,53.839,2.39,3.86,37.75
14509,-1.092,54.635,2.39,3.86,37.75
14701,-1.092,54.986,2.39,3.86,37.75
14893,-1.118,55.698,2.39,3.86,37.75
15093,-1.143,56.329,2.39,3.86,37.75
15293,-1.143,56.877,2.39,3.86,37.75
15485,-1.168,57.393,2.39,3.86,37.75
15693,-1.168,58.064,2.39,3.86,37.75
15900,-1.194,58.62,2.39,3.86,37.75
16092,-1.219,58.963,2.39,3.86,37.75
16284,-1.219,59.714,2.39,3.86,37.75
16492,-1.245,60.061,2.39,3.86,37.75
16700,-1.245,60.493,2.39,3.86,37.75
16892,-1.27,61.067,2.39,3.86,37.75
17100,-1.295,61.511,2.39,3.86,37.75
17308,-1.295,61.956,2.39,3.86,37.75
17516,-1.321,62.557,2.39,3.86,37.75
17724,-1.346,62.824,2.39,3.86,37.75
17932,-1.346,63.233,2.39,3.86,37.75
18140,-1.372,63.686,2.39,3.86,37.75
18348,-1.397,64.082,2.39,3.86,37.75
18556,-1.397,64.407,2.39,3.86,37.75
18764,-1.422,64.816,2.39,3.86,37.75
18972,-1.422,65.141,2.39,3.86,37.75
19180,-1.448,65.408,2.39,3.86,37.75
19387,-1.473,65.91,2.39,3.86,37.75
19595,-1.473,66.12,2.39,3.86,37.75
19803,-1.499,66.426,2.39,3.86,37.75
20011,-1.524,66.831,2.39,3.86,37.75
20219,-1.524,67.009,2.39,3.86,37.75
20427,-1.549,67.356,2.39,3.86,37.75
20635,-1.575,67.592,2.39,3.86,37.75
20843,-1.575,67.899,2.39,3.86,37.75
21051,-1.6,68.215,2.39,3.86,37.75
21259,-1.626,68.548,2.39,3.86,37.75
21467,-1.626,68.673,2.39,3.86,37.75
21675,-1.651,68.953,2.39,3.86,37.75
21883,-1.676,69.024,2.39,3.86,37.75
22091,-1.676,69.367,2.39,3.86,37.75
22299,-1.702,69.691,2.39,3.86,37.75
22507,-1.727,69.673,2.39,3.86,37.75
22715,-1.727,70.069,2.39,3.86,37.75
22923,-1.753,70.301,2.39,3.86,37.75
23130,-1.753,70.261,2.39,3.86,37.75
23338,-1.778,70.652,2.39,3.86,37.75
23546,-1.803,70.683,2.39,3.86,37.75
23754,-1.803,70.914,2.39,3.86,37.75
23962,-1.829,71.19,2.39,3.86,37.75
24170,-1.854,71.226,2.39,3.86,37.75
24378,-1.854,71.382,2.39,3.86,37.75
24587,-1.88,71.622,2.39,3.86,37.75
24795,-1.905,71.728,2.39,3.86,37.75
25003,-1.905,71.795,2.39,3.86,37.75
25211,-1.93,72.084,2.39,3.86,37.75
25419,-1.956,72.2,2.39,3.86,37.75
25627,-1.956,72.253,2.39,3.86,37.75
25835,-1.981,72.422,2.39,3.86,37.75
26043,-2.007,72.578,2.39,3.86,37.75
26251,-2.007,72.663,2.39,3.86,37.75
26459,-2.032,72.765,2.39,3.86,37.75
26666,-2.057,73.05,2.39,3.86,37.75
26858,-2.057,73.001,2.39,3.86,37.75
27050,-2.083,73.116,2.39,3.86,37.75
27242,-2.108,73.267,2.39,3.86,37.75
27434,-2.108,73.227,2.39,3.86,37.75
27626,-2.134,73.579,2.39,3.86,37.75
27818,-2.134,73.579,2.39,3.86,37.75
28010,-2.159,73.579,2.39,3.86,37.75
28202,-2.184,73.908,2.39,3.86,37.75
28394,-2.184,73.726,2.39,3.86,37.75
28586,-2.21,73.895,2.39,3.86,37.75
28778,-2.21,73.832,2.39,3.86,37.75
28970,-2.235,73.997,2.39,3.86,37.75
29162,-2.261,74.108,2.39,3.86,37.75
29370,-2.261,74.237,2.39,3.86,37.75
29578,-2.286,74.197,2.39,3.86,37.75
29786,-2.311,74.424,2.39,3.86,37.75
29993,-2.311,74.584,2.39,3.86,37.75
30201,-2.337,74.5,2.39,3.86,37.75
30409,-2.362,74.66,2.39,3.86,37.75
30617,-2.362,74.691,2.39,3.86,37.75
30825,-2.388,74.691,2.39,3.86,37.75
31033,-2.413,74.931,2.39,3.86,37.75
31241,-2.413,74.811,2.39,3.86,37.75
31449,-2.438,74.913,2.39,3.86,37.75
31657,-2.464,74.984,2.39,3.86,37.75
31865,-2.464,74.953,2.39,3.86,37.75
32073,-2.489,75.109,2.39,3.86,37.75
32281,-2.515,75.069,2.39,3.86,37.75
32489,-2.515,75.193,2.39,3.86,37.75
32697,-2.54,75.269,2.39,3.86,37.75
32905,-2.565,75.233,2.39,3.86,37.75
33113,-2.565,75.3,2.39,3.86,37.75
33320,-2.591,75.46,2.39,3.86,37.75
33528,-2.616,75.5,2.39,3.86,37.75
33737,-2.616,75.54,2.39,3.86,37.75
33944,-2.642,75.531,2.39,3.86,37.75
34152,-2.667,75.62,2.39,3.86,37.75
34360,-2.667,75.701,2.39,3.86,37.75
34568,-2.692,75.776,2.39,3.86,37.75
34776,-2.718,75.696,2.39,3.86,37.75
34984,-2.718,75.861,2.39,3.86,37.75
35192,-2.743,75.763,2.39,3.86,37.75
35400,-2.769,75.923,2.39,3.86,37.75
35608,-2.769,75.847,2.39,3.86,37.75
35816,-2.794,75.807,2.39,3.86,37.75
36024,-2.819,75.874,2.39,3.86,37.75
36232,-2.845,75.656,2.39,3.86,37.75
36440,-2.845,75.963,2.39,3.86,37.75
36648,-2.87,76.079,2.39,3.86,37.75
36856,-2.896,75.83,2.39,3.86,37.75
37063,-2.896,75.874,2.39,3.86,37.75
37272,-2.921,76.083,2.39,3.86,37.75
37479,-2.946,75.83,2.39,3.86,37.75
37687,-2.946,76.003,2.39,3.86,37.75
37895,-2.972,76.083,2.39,3.86,37.75
38103,-2.997,75.767,2.39,3.86,37.75
38311,-2.997,75.923,2.39,3.86,37.75
38519,-3.023,75.798,2.39,3.86,37.75
38727,-3.048,75.696,2.39,3.86,37.75
38935,-3.048,3.643,2.39,3.86,37.75
39143,-3.15,2.184,2.39,3.86,37.75
39335,-3.175,2.362,2.39,3.86,37.75
39527,-3.175,2.406,2.39,3.86,37.75
39719,-3.2,2.406,2.39,3.86,37.75
39911,-3.226,2.451,2.39,3.86,37.75
40103,-3.226,2.446,2.39,3.86,37.75
40294,-3.251,2.442,2.39,3.86,37.75
40487,-3.251,2.402,2.39,3.86,37.75
40678,-3.277,2.54,2.39,3.86,37.75
40870,-3.302,2.615,2.39,3.86,37.75
41062,-3.302,2.58,2.39,3.86,37.75
41254,-3.327,2.393,2.39,3.86,37.75
41446,-3.353,2.566,2.39,3.86,37.75
41638,-3.353,2.7,2.39,3.86,37.75
41830,-3.378,2.66,2.39,3.86,37.75
42023,-3.378,2.7,2.39,3.86,37.75
42215,-3.404,2.7,2.39,3.86,37.75
42407,-3.429,2.695,2.39,3.86,37.75
42599,-3.429,2.74,2.39,3.86,37.75
42791,-3.454,2.691,2.39,3.86,37.75
42999,-3.454,2.784,2.39,3.86,37.75
43191,-3.48,2.829,2.39,3.86,37.75
43399,-3.505,2.82,2.39,3.86,37.75
43607,-3.505,2.82,2.39,3.86,37.75
43815,-3.531,2.776,2.39,3.86,37.75
44023,-3.556,2.865,2.39,3.86,37.75
44230,-3.556,2.953,2.39,3.86,37.75
44438,-3.581,2.82,2.39,3.86,37.75
44646,-3.607,2.865,2.39,3.86,37.75
44854,-3.607,3.042,2.39,3.86,37.75
45062,-3.632,2.891,2.39,3.86,37.75
45270,-3.658,2.949,2.39,3.86,37.75
45478,-3.658,3.042,2.39,3.86,37.75
45686,-3.683,3.171,2.39,3.86,37.75
