a,b,c,d,e,f
16,0,0.97,2.39,3.86,37.75
224,0,1.766,2.39,3.86,37.75
416,-0.025,2.366,2.39,3.86,37.75
608,-0.025,3.314,2.39,3.86,37.75
800,-0.051,3.465,2.39,3.86,37.75
992,-0.076,3.852,2.39,3.86,37.75
1184,-0.076,4.221,2.39,3.86,37.75
1376,-0.102,4.719,2.39,3.86,37.75
1568,-0.102,5.28,2.39,3.86,37.75
1760,-0.127,5.573,2.39,3.86,37.75
1952,-0.152,6.463,2.39,3.86,37.75
2143,-0.152,6.881,2.39,3.86,37.75
2335,-0.178,7.513,2.39,3.86,37.75
2527,-0.178,6.881,2.39,3.86,37.75
2719,-0.203,7.255,2.39,3.86,37.75
2911,-0.229,7.553,2.39,3.86,37.75
3103,-0.229,7.473,2.39,3.86,37.75
3295,-0.254,8.055,2.39,3.86,37.75
3487,-0.254,8.856,2.39,3.86,37.75
3679,-0.279,9.416,2.39,3.86,37.75
3871,-0.279,10.359,2.39,3.86,37.75
4063,-0.305,11.205,2.39,3.86,37.75
4271,-0.305,11.832,2.39,3.86,37.75
4479,-0.33,12.659,2.39,3.86,37.75
4687,-0.356,13.455,2.39,3.86,37.75
4895,-0.356,14.238,2.39,3.86,37.75
5103,-0.381,15.079,2.39,3.86,37.75
5310,-0.381,16.066,2.39,3.86,37.75
5518,-0.406,16.871,2.39,3.86,37.75
5727,-0.432,17.654,2.39,3.86,37.75
5934,-0.432,18.606,2.39,3.86,37.75
6142,-0.457,19.393,2.39,3.86,37.75
6350,-0.483,20.341,2.39,3.86,37.75
6558,-0.483,21.493,2.39,3.86,37.75
6766,-0.508,22.365,2.39,3.86,37.75
6975,-0.508,23.267,2.39,3.86,37.75
7183,-0.533,24.473,2.39,3.86,37.75
7391,-0.559,25.158,2.39,3.86,37.75
7599,-0.559,26.181,2.39,3.86,37.75
7807,-0.584,27.284,2.39,3.86,37.75
8015,-0.584,28.156,2.39,3.86,37.75
8223,-0.61,29.005,2.39,3.86,37.75
8431,-0.635,30.122,2.39,3.86,37.75
8639,-0.635,30.842,2.39,3.86,37.75
8847,-0.66,31.946,2.39,3.86,37.75
9055,-0.686,32.946,2.39,3.86,37.75
9262,-0.686,33.738,2.39,3.86,37.75
9470,-0.711,34.788,2.39,3.86,37.75
9678,-0.711,35.815,2.39,3.86,37.75
9886,-0.737,36.523,2.39,3.86,37.75
10094,-0.762,37.617,2.39,3.86,37.75
10302,-0.762,38.506,2.39,3.86,37.75
10510,-0.787,39.28,2.39,3.86,37.75
10718,-0.813,40.148,2.39,3.86,37.75
10926,-0.813,40.962,2.39,3.86,37.75
11134,-0.838,42.016,2.39,3.86,37.75
11342,-0.838,42.768,2.39,3.86,37.75
11550,-0.864,43.608,2.39,3.86,37.75
11758,-0.889,44.529,2.39,3.86,37.75
11966,-0.889,45.419,2.39,3.86,37.75
