a,b,c,d,e,f
26442,-2.057,50.018,2.3775,3.585,37.75
26650,-2.083,50.52,2.3775,3.585,37.75
26858,-2.083,50.262,2.3775,3.585,37.75
27066,-2.108,50.547,2.3775,3.585,37.75
27274,-2.134,50.801,2.3775,3.585,37.75
27482,-2.134,50.534,2.3775,3.585,37.75
27690,-2.159,50.934,2.3775,3.585,37.75
27898,-2.184,50.983,2.3775,3.585,37.75
28106,-2.184,51.188,2.3775,3.585,37.75
28314,-2.21,51.103,2.3775,3.585,37.75
28522,-2.235,51.01,2.3775,3.585,37.75
28730,-2.235,51.081,2.3775,3.585,37.75
28938,-2.261,51.205,2.3775,3.585,37.75
29146,-2.286,51.321,2.3775,3.585,37.75
29353,-2.286,51.432,2.3775,3.585,37.75
29561,-2.311,51.615,2.3775,3.585,37.75
29769,-2.337,51.695,2.3775,3.585,37.75
29977,-2.337,51.739,2.3775,3.585,37.75
30185,-2.362,51.77,2.3775,3.585,37.75
30393,-2.388,51.864,2.3775,3.585,37.75
30601,-2.388,51.855,2.3775,3.585,37.75
30809,-2.413,52.01,2.3775,3.585,37.75
31017,-2.438,52.131,2.3775,3.585,37.75
31225,-2.438,52.117,2.3775,3.585,37.75
31417,-2.464,52.326,2.3775,3.585,37.75
31609,-2.489,52.175,2.3775,3.585,37.75
31801,-2.489,52.286,2.3775,3.585,37.75
31993,-2.515,52.357,2.3775,3.585,37.75
32185,-2.54,52.366,2.3775,3.585,37.75
32377,-2.54,52.486,2.3775,3.585,37.75
32569,-2.565,52.402,2.3775,3.585,37.75
32760,-2.565,52.678,2.3775,3.585,37.75
32952,-2.591,52.847,2.3775,3.585,37.75
33144,-2.616,52.598,2.3775,3.585,37.75
33336,-2.616,52.713,2.3775,3.585,37.75
33528,-2.642,52.838,2.3775,3.585,37.75
33720,-2.642,52.682,2.3775,3.585,37.75
33912,-2.667,52.713,2.3775,3.585,37.75
34104,-2.692,52.678,2.3775,3.585,37.75
34296,-2.692,52.793,2.3775,3.585,37.75
34504,-2.718,52.993,2.3775,3.585,37.75
34712,-2.743,52.953,2.3775,3.585,37.75
34920,-2.743,52.913,2.3775,3.585,37.75
35128,-2.769,53.074,2.3775,3.585,37.75
35336,-2.794,52.909,2.3775,3.585,37.75
35544,-2.794,53.034,2.3775,3.585,37.75
35752,-2.819,53.198,2.3775,3.585,37.75
35959,-2.845,52.953,2.3775,3.585,37.75
36168,-2.845,53.078,2.3775,3.585,37.75
36375,-2.87,53.078,2.3775,3.585,37.75
36583,-2.896,53.065,2.3775,3.585,37.75
36791,-2.896,53.198,2.3775,3.585,37.75
37000,-2.921,53.029,2.3775,3.585,37.75
37208,-2.946,53.105,2.3775,3.585,37.75
37416,-2.946,53.243,2.3775,3.585,37.75
37624,-2.972,53.194,2.3775,3.585,37.75
37832,-2.997,53.225,2.3775,3.585,37.75
38040,-2.997,53.229,2.3775,3.585,37.75
38248,-3.023,53.274,2.3775,3.585,37.75
38456,-3.048,53.349,2.3775,3.585,37.75
38664,-3.048,53.154,2.3775,3.585,37.75
38872,-3.073,53.274,2.3775,3.585,37.75
39080,-3.099,53.349,2.3775,3.585,37.75
39287,-3.099,53.229,2.3775,3.585,37.75
39496,-3.124,53.394,2.3775,3.585,37.75
39703,-3.15,53.216,2.3775,3.585,37.75
39911,-3.15,53.274,2.3775,3.585,37.75
40119,-3.175,53.358,2.3775,3.585,37.75
40327,-3.2,53.309,2.3775,3.585,37.75
40535,-3.2,53.274,2.3775,3.585,37.75
40743,-3.226,53.349,2.3775,3.585,37.75
40951,-3.251,53.274,2.3775,3.585,37.75
41159,-3.251,53.309,2.3775,3.585,37.75
41367,-3.277,53.229,2.3775,3.585,37.75
41575,-3.302,53.318,2.3775,3.585,37.75
41783,-3.302,53.349,2.3775,3.585,37.75
41991,-3.327,53.309,2.3775,3.585,37.75
42183,-3.353,53.385,2.3775,3.585,37.75
42391,-3.378,53.274,2.3775,3.585,37.75
42599,-3.378,53.656,2.3775,3.585,37.75
42791,-3.404,53.318,2.3775,3.585,37.75
42999,-3.404,53.309,2.3775,3.585,37.75
43206,-3.429,53.154,2.3775,3.585,37.75
43414,-3.454,53.309,2.3775,3.585,37.75
43622,-3.454,53.154,2.3775,3.585,37.75
43814,-3.48,53.265,2.3775,3.585,37.75
44006,-3.505,53.229,2.3775,3.585,37.75
44198,-3.505,53.238,2.3775,3.585,37.75
44390,-3.531,53.185,2.3775,3.585,37.75
44582,-3.556,53.194,2.3775,3.585,37.75
44774,-3.556,53.109,2.3775,3.585,37.75
44966,-3.581,53.074,2.3775,3.585,37.75
45158,-3.581,53.158,2.3775,3.585,37.75
45350,-3.607,53.185,2.3775,3.585,37.75
45542,-3.632,53.154,2.3775,3.585,37.75
45734,-3.632,53.256,2.3775,3.585,37.75
45926,-3.658,53.074,2.3775,3.585,37.75
46118,-3.683,53.034,2.3775,3.585,37.75
46326,-3.683,52.758,2.3775,3.585,37.75
46533,-3.708,52.829,2.3775,3.585,37.75
46741,-3.734,36.527,2.3775,3.585,37.75
46949,-3.785,1.539,2.3775,3.585,37.75
47157,-3.81,1.539,2.3775,3.585,37.75
47365,-3.835,1.539,2.3775,3.585,37.75
47573,-3.835,1.583,2.3775,3.585,37.75
47781,-3.861,1.53,2.3775,3.585,37.75
47989,-3.886,1.579,2.3775,3.585,37.75
48197,-3.886,1.619,2.3775,3.585,37.75
48405,-3.912,1.619,2.3775,3.585,37.75
48613,-3.937,1.664,2.3775,3.585,37.75
48821,-3.937,1.664,2.3775,3.585,37.75
