a,b,c,d,e,f
16,0,1.326,2.3775,3.585,37.75
208,0,2.086,2.3775,3.585,37.75
400,-0.025,2.762,2.3775,3.585,37.75
592,-0.025,3.403,2.3775,3.585,37.75
784,-0.051,3.95,2.3775,3.585,37.75
976,-0.051,4.537,2.3775,3.585,37.75
1168,-0.076,5.08,2.3775,3.585,37.75
1375,-0.102,5.8,2.3775,3.585,37.75
1583,-0.102,6.387,2.3775,3.585,37.75
1791,-0.127,6.934,2.3775,3.585,37.75
2000,-0.127,7.517,2.3775,3.585,37.75
2208,-0.152,8.233,2.3775,3.585,37.75
2416,-0.178,8.696,2.3775,3.585,37.75
2624,-0.178,9.376,2.3775,3.585,37.75
2832,-0.203,10.093,2.3775,3.585,37.75
3040,-0.203,10.497,2.3775,3.585,37.75
3248,-0.229,11.133,2.3775,3.585,37.75
3456,-0.229,11.698,2.3775,3.585,37.75
3664,-0.254,12.223,2.3775,3.585,37.75
3872,-0.279,12.752,2.3775,3.585,37.75
4080,-0.279,13.571,2.3775,3.585,37.75
4288,-0.305,13.838,2.3775,3.585,37.75
4496,-0.33,14.589,2.3775,3.585,37.75
4704,-0.33,15.208,2.3775,3.585,37.75
4911,-0.356,15.635,2.3775,3.585,37.75
5119,-0.356,16.213,2.3775,3.585,37.75
5327,-0.381,17.022,2.3775,3.585,37.75
5535,-0.406,17.205,2.3775,3.585,37.75
5743,-0.406,17.877,2.3775,3.585,37.75
5951,-0.432,18.366,2.3775,3.585,37.75
6159,-0.457,18.739,2.3775,3.585,37.75
6367,-0.457,19.353,2.3775,3.585,37.75
6575,-0.483,19.776,2.3775,3.585,37.75
6783,-0.483,20.314,2.3775,3.585,37.75
6991,-0.508,20.843,2.3775,3.585,37.75
7199,-0.533,21.164,2.3775,3.585,37.75
7407,-0.533,21.671,2.3775,3.585,37.75
7615,-0.559,22.124,2.3775,3.585,37.75
7823,-0.584,22.623,2.3775,3.585,37.75
8031,-0.584,23.027,2.3775,3.585,37.75
8238,-0.61,23.525,2.3775,3.585,37.75
8446,-0.635,23.979,2.3775,3.585,37.75
8654,-0.635,24.304,2.3775,3.585,37.75
8862,-0.66,24.758,2.3775,3.585,37.75
9070,-0.66,25.158,2.3775,3.585,37.75
9278,-0.686,25.701,2.3775,3.585,37.75
9486,-0.711,26.056,2.3775,3.585,37.75
9694,-0.711,26.474,2.3775,3.585,37.75
9902,-0.737,26.804,2.3775,3.585,37.75
10110,-0.762,27.337,2.3775,3.585,37.75
10318,-0.762,27.667,2.3775,3.585,37.75
10510,-0.787,27.991,2.3775,3.585,37.75
10702,-0.813,28.485,2.3775,3.585,37.75
10894,-0.813,28.761,2.3775,3.585,37.75
11086,-0.838,29.094,2.3775,3.585,37.75
11278,-0.838,29.379,2.3775,3.585,37.75
11470,-0.864,29.77,2.3775,3.585,37.75
11662,-0.864,30.113,2.3775,3.585,37.75
11853,-0.889,30.286,2.3775,3.585,37.75
12045,-0.914,30.927,2.3775,3.585,37.75
12237,-0.914,31.332,2.3775,3.585,37.75
12429,-0.94,31.594,2.3775,3.585,37.75
12621,-0.94,31.99,2.3775,3.585,37.75
12813,-0.965,32.319,2.3775,3.585,37.75
13005,-0.991,32.55,2.3775,3.585,37.75
13197,-0.991,33.133,2.3775,3.585,37.75
13389,-1.016,33.271,2.3775,3.585,37.75
13581,-1.016,33.569,2.3775,3.585,37.75
13789,-1.041,34.138,2.3775,3.585,37.75
13997,-1.067,34.414,2.3775,3.585,37.75
14205,-1.067,34.694,2.3775,3.585,37.75
14413,-1.092,35.144,2.3775,3.585,37.75
14621,-1.118,35.428,2.3775,3.585,37.75
14829,-1.118,35.793,2.3775,3.585,37.75
15036,-1.143,36.278,2.3775,3.585,37.75
15244,-1.168,36.491,2.3775,3.585,37.75
15452,-1.168,36.847,2.3775,3.585,37.75
15660,-1.194,37.408,2.3775,3.585,37.75
15868,-1.194,37.492,2.3775,3.585,37.75
16076,-1.219,37.901,2.3775,3.585,37.75
16284,-1.245,38.489,2.3775,3.585,37.75
16492,-1.245,38.586,2.3775,3.585,37.75
16700,-1.27,38.956,2.3775,3.585,37.75
16908,-1.295,39.303,2.3775,3.585,37.75
17116,-1.295,39.538,2.3775,3.585,37.75
17324,-1.321,39.916,2.3775,3.585,37.75
17532,-1.346,40.072,2.3775,3.585,37.75
17740,-1.346,40.477,2.3775,3.585,37.75
17948,-1.372,40.877,2.3775,3.585,37.75
18156,-1.397,41.002,2.3775,3.585,37.75
18364,-1.397,41.473,2.3775,3.585,37.75
18571,-1.422,41.678,2.3775,3.585,37.75
18780,-1.448,42.007,2.3775,3.585,37.75
18987,-1.448,42.363,2.3775,3.585,37.75
19195,-1.473,42.732,2.3775,3.585,37.75
19404,-1.499,42.928,2.3775,3.585,37.75
19612,-1.499,43.283,2.3775,3.585,37.75
19820,-1.524,43.404,2.3775,3.585,37.75
20028,-1.524,43.679,2.3775,3.585,37.75
20236,-1.549,44.129,2.3775,3.585,37.75
20444,-1.575,44.32,2.3775,3.585,37.75
20652,-1.575,44.476,2.3775,3.585,37.75
20860,-1.6,44.8,2.3775,3.585,37.75
21068,-1.626,45.214,2.3775,3.585,37.75
21260,-1.626,45.29,2.3775,3.585,37.75
21452,-1.651,45.481,2.3775,3.585,37.75
21644,-1.676,45.85,2.3775,3.585,37.75
21835,-1.676,46.046,2.3775,3.585,37.75
22028,-1.702,46.233,2.3775,3.585,37.75
22219,-1.702,46.482,2.3775,3.585,37.75
22411,-1.727,46.66,2.3775,3.585,37.75
22603,-1.753,46.922,2.3775,3.585,37.75
22795,-1.753,47.038,2.3775,3.585,37.75
22987,-1.778,47.242,2.3775,3.585,37.75
23179,-1.803,47.629,2.3775,3.585,37.75
23371,-1.803,47.678,2.3775,3.585,37.75
23563,-1.829,47.963,2.3775,3.585,37.75
23755,-1.829,47.998,2.3775,3.585,37.75
23947,-1.854,48.118,2.3775,3.585,37.75
24155,-1.88,48.47,2.3775,3.585,37.75
24363,-1.88,48.643,2.3775,3.585,37.75
24571,-1.905,48.719,2.3775,3.585,37.75
24779,-1.93,48.995,2.3775,3.585,37.75
24987,-1.93,49.106,2.3775,3.585,37.75
25195,-1.956,49.235,2.3775,3.585,37.75
25403,-1.981,49.471,2.3775,3.585,37.75
25610,-1.981,49.359,2.3775,3.585,37.75
25818,-2.007,49.698,2.3775,3.585,37.75
26026,-2.032,49.947,2.3775,3.585,37.75
26234,-2.032,49.947,2.3775,3.585,37.75
