a,b,c,d,e,f
52292,-4.166,54.564,3.675,5.585,37.75
52484,-4.166,54.057,3.675,5.585,37.75
52676,-4.191,53.701,3.675,5.585,37.75
52868,-4.216,53.42,3.675,5.585,37.75
53060,-4.216,53.287,3.675,5.585,37.75
53268,-4.242,53.34,3.675,5.585,37.75
53476,-4.267,52.816,3.675,5.585,37.75
53684,-4.267,52.86,3.675,5.585,37.75
53892,-4.293,52.9,3.675,5.585,37.75
54099,-4.318,52.349,3.675,5.585,37.75
54307,-4.318,52.148,3.675,5.585,37.75
54515,-4.343,52.233,3.675,5.585,37.75
54723,-4.369,51.539,3.675,5.585,37.75
54931,-4.369,51.726,3.675,5.585,37.75
55139,-4.394,51.797,3.675,5.585,37.75
55347,-4.42,51.526,3.675,5.585,37.75
55555,-4.42,51.414,3.675,5.585,37.75
55763,-4.445,51.237,3.675,5.585,37.75
55971,-4.47,51.205,3.675,5.585,37.75
56179,-4.47,51.205,3.675,5.585,37.75
56387,-4.496,50.898,3.675,5.585,37.75
56595,-4.521,50.827,3.675,5.585,37.75
56803,-4.521,50.494,3.675,5.585,37.75
57011,-4.547,50.294,3.675,5.585,37.75
57219,-4.572,50.182,3.675,5.585,37.75
57426,-4.572,49.698,3.675,5.585,37.75
57634,-4.597,49.537,3.675,5.585,37.75
57842,-4.623,49.324,3.675,5.585,37.75
58050,-4.623,48.892,3.675,5.585,37.75
58258,-4.648,48.892,3.675,5.585,37.75
58466,-4.674,48.741,3.675,5.585,37.75
58674,-4.674,48.505,3.675,5.585,37.75
58882,-4.699,48.421,3.675,5.585,37.75
59090,-4.724,48.034,3.675,5.585,37.75
59298,-4.724,47.834,3.675,5.585,37.75
59506,-4.75,47.834,3.675,5.585,37.75
59714,-4.775,47.469,3.675,5.585,37.75
59922,-4.775,47.269,3.675,5.585,37.75
60130,-4.801,47.224,3.675,5.585,37.75
60338,-4.826,46.864,3.675,5.585,37.75
60546,-4.826,46.668,3.675,5.585,37.75
60754,-4.851,46.624,3.675,5.585,37.75
60961,-4.877,46.388,3.675,5.585,37.75
