a,b,c,d,e,f
16,0,2.166,3.675,5.585,37.75
208,0,2.251,3.675,5.585,37.75
400,-0.025,2.967,3.675,5.585,37.75
592,-0.025,4.203,3.675,5.585,37.75
784,-0.025,5.618,3.675,5.585,37.75
976,-0.051,7.437,3.675,5.585,37.75
1168,-0.051,9.154,3.675,5.585,37.75
1360,-0.076,11.156,3.675,5.585,37.75
1552,-0.076,13.202,3.675,5.585,37.75
1744,-0.102,15.079,3.675,5.585,37.75
1936,-0.102,17.53,3.675,5.585,37.75
2128,-0.127,19.229,3.675,5.585,37.75
2320,-0.127,21.502,3.675,5.585,37.75
2511,-0.152,23.806,3.675,5.585,37.75
2703,-0.152,25.727,3.675,5.585,37.75
2895,-0.178,27.738,3.675,5.585,37.75
3087,-0.178,29.784,3.675,5.585,37.75
3279,-0.203,32.257,3.675,5.585,37.75
3471,-0.229,34.17,3.675,5.585,37.75
3663,-0.229,36.563,3.675,5.585,37.75
3871,-0.254,39.227,3.675,5.585,37.75
4079,-0.254,41.402,3.675,5.585,37.75
4287,-0.279,43.719,3.675,5.585,37.75
4495,-0.279,46.353,3.675,5.585,37.75
4703,-0.305,48.581,3.675,5.585,37.75
4911,-0.305,51.188,3.675,5.585,37.75
5119,-0.33,53.572,3.675,5.585,37.75
5327,-0.356,55.867,3.675,5.585,37.75
5535,-0.356,58.229,3.675,5.585,37.75
5742,-0.381,60.773,3.675,5.585,37.75
5951,-0.381,63.113,3.675,5.585,37.75
6158,-0.406,65.354,3.675,5.585,37.75
6366,-0.432,68.094,3.675,5.585,37.75
6574,-0.432,70.381,3.675,5.585,37.75
6782,-0.457,72.574,3.675,5.585,37.75
6990,-0.457,74.887,3.675,5.585,37.75
7198,-0.483,77.542,3.675,5.585,37.75
7406,-0.508,79.797,3.675,5.585,37.75
7614,-0.508,81.954,3.675,5.585,37.75
7822,-0.533,84.423,3.675,5.585,37.75
8030,-0.533,86.469,3.675,5.585,37.75
8238,-0.559,88.853,3.675,5.585,37.75
8446,-0.584,91.264,3.675,5.585,37.75
8654,-0.584,92.981,3.675,5.585,37.75
8862,-0.61,95.521,3.675,5.585,37.75
9070,-0.61,97.834,3.675,5.585,37.75
9278,-0.635,99.555,3.675,5.585,37.75
9486,-0.66,101.917,3.675,5.585,37.75
9693,-0.66,104.27,3.675,5.585,37.75
9901,-0.686,105.822,3.675,5.585,37.75
10109,-0.711,108.331,3.675,5.585,37.75
10317,-0.711,110.306,3.675,5.585,37.75
10525,-0.737,111.929,3.675,5.585,37.75
10733,-0.737,114.251,3.675,5.585,37.75
10941,-0.762,116.146,3.675,5.585,37.75
11149,-0.787,118.001,3.675,5.585,37.75
11357,-0.787,120.158,3.675,5.585,37.75
11565,-0.813,121.893,3.675,5.585,37.75
11773,-0.813,123.472,3.675,5.585,37.75
11981,-0.838,125.563,3.675,5.585,37.75
12189,-0.864,127.231,3.675,5.585,37.75
12397,-0.864,128.81,3.675,5.585,37.75
12605,-0.889,130.736,3.675,5.585,37.75
12813,-0.914,132.332,3.675,5.585,37.75
13021,-0.914,133.654,3.675,5.585,37.75
13228,-0.94,135.255,3.675,5.585,37.75
13436,-0.94,137.163,3.675,5.585,37.75
13644,-0.965,138.204,3.675,5.585,37.75
13852,-0.991,139.796,3.675,5.585,37.75
14060,-0.991,141.473,3.675,5.585,37.75
14268,-1.016,142.398,3.675,5.585,37.75
14460,-1.016,143.906,3.675,5.585,37.75
14652,-1.041,144.796,3.675,5.585,37.75
14844,-1.067,146.01,3.675,5.585,37.75
15036,-1.067,147.536,3.675,5.585,37.75
15229,-1.092,148.118,3.675,5.585,37.75
15421,-1.092,149.048,3.675,5.585,37.75
15613,-1.118,149.884,3.675,5.585,37.75
15805,-1.143,151.263,3.675,5.585,37.75
15997,-1.143,152.246,3.675,5.585,37.75
16188,-1.168,153.087,3.675,5.585,37.75
16380,-1.168,153.963,3.675,5.585,37.75
16572,-1.194,154.777,3.675,5.585,37.75
16764,-1.219,155.137,3.675,5.585,37.75
16956,-1.219,156.196,3.675,5.585,37.75
17148,-1.245,156.917,3.675,5.585,37.75
17356,-1.245,157.731,3.675,5.585,37.75
17564,-1.27,158.504,3.675,5.585,37.75
17772,-1.295,159.038,3.675,5.585,37.75
17980,-1.295,159.425,3.675,5.585,37.75
18188,-1.321,160.457,3.675,5.585,37.75
18396,-1.346,160.96,3.675,5.585,37.75
18604,-1.346,161.347,3.675,5.585,37.75
18812,-1.372,162.179,3.675,5.585,37.75
19020,-1.397,162.632,3.675,5.585,37.75
19228,-1.397,162.806,3.675,5.585,37.75
19436,-1.422,163.58,3.675,5.585,37.75
19644,-1.448,163.718,3.675,5.585,37.75
19852,-1.448,163.931,3.675,5.585,37.75
20060,-1.473,164.612,3.675,5.585,37.75
20267,-1.499,164.58,3.675,5.585,37.75
20475,-1.499,164.656,3.675,5.585,37.75
20683,-1.524,165.217,3.675,5.585,37.75
20891,-1.549,165.074,3.675,5.585,37.75
21099,-1.549,165.35,3.675,5.585,37.75
21307,-1.575,165.888,3.675,5.585,37.75
21515,-1.6,165.728,3.675,5.585,37.75
21723,-1.6,165.781,3.675,5.585,37.75
21931,-1.626,166.124,3.675,5.585,37.75
22139,-1.626,166.026,3.675,5.585,37.75
22347,-1.651,166.088,3.675,5.585,37.75
22555,-1.676,166.409,3.675,5.585,37.75
22763,-1.676,166.329,3.675,5.585,37.75
22971,-1.702,166.266,3.675,5.585,37.75
23179,-1.727,166.453,3.675,5.585,37.75
23386,-1.727,166.4,3.675,5.585,37.75
23594,-1.753,166.306,3.675,5.585,37.75
23802,-1.778,166.489,3.675,5.585,37.75
24010,-1.778,166.306,3.675,5.585,37.75
24218,-1.803,165.999,3.675,5.585,37.75
24426,-1.829,166.293,3.675,5.585,37.75
24634,-1.829,166.124,3.675,5.585,37.75
24842,-1.854,166.204,3.675,5.585,37.75
25050,-1.88,166.893,3.675,5.585,37.75
25258,-1.88,166.871,3.675,5.585,37.75
25466,-1.905,166.804,3.675,5.585,37.75
25674,-1.93,167.449,3.675,5.585,37.75
25882,-1.93,167.427,3.675,5.585,37.75
26090,-1.956,167.765,3.675,5.585,37.75
26282,-1.981,168.472,3.675,5.585,37.75
26474,-1.981,168.428,3.675,5.585,37.75
26665,-2.007,168.784,3.675,5.585,37.75
26857,-2.032,168.833,3.675,5.585,37.75
27049,-2.032,169.211,3.675,5.585,37.75
27241,-2.057,169.584,3.675,5.585,37.75
27433,-2.057,169.54,3.675,5.585,37.75
27625,-2.083,169.945,3.675,5.585,37.75
27817,-2.108,170.06,3.675,5.585,37.75
28009,-2.108,170.016,3.675,5.585,37.75
28201,-2.134,170.839,3.675,5.585,37.75
28393,-2.134,170.914,3.675,5.585,37.75
28585,-2.159,171.039,3.675,5.585,37.75
28777,-2.184,171.635,3.675,5.585,37.75
28969,-2.184,171.155,3.675,5.585,37.75
29161,-2.21,171.648,3.675,5.585,37.75
29369,-2.235,171.399,3.675,5.585,37.75
29577,-2.235,171.782,3.675,5.585,37.75
29785,-2.261,171.848,3.675,5.585,37.75
29992,-2.286,171.933,3.675,5.585,37.75
30200,-2.286,172.244,3.675,5.585,37.75
30408,-2.311,172.044,3.675,5.585,37.75
30616,-2.337,171.559,3.675,5.585,37.75
30824,-2.337,171.355,3.675,5.585,37.75
31032,-2.362,170.599,3.675,5.585,37.75
31240,-2.388,169.869,3.675,5.585,37.75
31448,-2.388,169.34,3.675,5.585,37.75
31656,-2.413,168.57,3.675,5.585,37.75
31864,-2.438,168.108,3.675,5.585,37.75
32072,-2.464,167.392,3.675,5.585,37.75
32280,-2.464,167.142,3.675,5.585,37.75
32488,-2.489,166.635,3.675,5.585,37.75
32697,-2.515,165.999,3.675,5.585,37.75
32905,-2.515,165.443,3.675,5.585,37.75
33113,-2.54,164.443,3.675,5.585,37.75
33320,-2.565,162.975,3.675,5.585,37.75
33528,-2.565,161.987,3.675,5.585,37.75
33736,-2.591,159.599,3.675,5.585,37.75
33944,-2.616,156.361,3.675,5.585,37.75
34152,-2.642,153.309,3.675,5.585,37.75
34360,-2.642,149.711,3.675,5.585,37.75
34568,-2.667,146.864,3.675,5.585,37.75
34776,-2.692,143.724,3.675,5.585,37.75
34984,-2.718,140.437,3.675,5.585,37.75
35192,-2.718,137.568,3.675,5.585,37.75
35400,-2.743,134.677,3.675,5.585,37.75
35608,-2.769,131.91,3.675,5.585,37.75
35816,-2.794,129.419,3.675,5.585,37.75
36024,-2.794,126.523,3.675,5.585,37.75
36232,-2.819,123.988,3.675,5.585,37.75
36440,-2.845,121.96,3.675,5.585,37.75
36647,-2.87,119.362,3.675,5.585,37.75
36856,-2.87,116.724,3.675,5.585,37.75
37064,-2.896,113.713,3.675,5.585,37.75
37271,-2.921,111.591,3.675,5.585,37.75
37479,-2.921,109.986,3.675,5.585,37.75
37671,-2.946,108.104,3.675,5.585,37.75
37863,-2.972,106.81,3.675,5.585,37.75
38055,-2.972,105.209,3.675,5.585,37.75
38247,-2.997,103.976,3.675,5.585,37.75
38439,-3.023,102.985,3.675,5.585,37.75
38631,-3.023,101.948,3.675,5.585,37.75
38823,-3.048,101.139,3.675,5.585,37.75
39015,-3.073,99.831,3.675,5.585,37.75
39207,-3.073,98.51,3.675,5.585,37.75
39399,-3.099,97.496,3.675,5.585,37.75
39591,-3.099,96.357,3.675,5.585,37.75
39783,-3.124,95.556,3.675,5.585,37.75
39975,-3.15,94.493,3.675,5.585,37.75
40183,-3.15,93.306,3.675,5.585,37.75
40391,-3.175,91.842,3.675,5.585,37.75
40598,-3.2,90.713,3.675,5.585,37.75
40806,-3.226,89.641,3.675,5.585,37.75
41014,-3.226,88.053,3.675,5.585,37.75
41222,-3.251,86.478,3.675,5.585,37.75
41430,-3.277,83.889,3.675,5.585,37.75
41638,-3.277,80.237,3.675,5.585,37.75
41846,-3.302,78.534,3.675,5.585,37.75
42054,-3.327,77.724,3.675,5.585,37.75
42262,-3.327,76.986,3.675,5.585,37.75
42470,-3.353,76.114,3.675,5.585,37.75
42678,-3.378,75.389,3.675,5.585,37.75
42886,-3.404,74.419,3.675,5.585,37.75
43094,-3.404,73.757,3.675,5.585,37.75
43302,-3.429,73.081,3.675,5.585,37.75
43510,-3.454,72.547,3.675,5.585,37.75
43718,-3.454,71.586,3.675,5.585,37.75
43925,-3.48,70.879,3.675,5.585,37.75
44133,-3.505,70.461,3.675,5.585,37.75
44341,-3.505,69.402,3.675,5.585,37.75
44549,-3.531,68.98,3.675,5.585,37.75
44757,-3.556,68.179,3.675,5.585,37.75
44965,-3.556,67.356,3.675,5.585,37.75
45173,-3.581,66.778,3.675,5.585,37.75
45381,-3.607,66.391,3.675,5.585,37.75
45589,-3.607,65.644,3.675,5.585,37.75
45797,-3.632,65.137,3.675,5.585,37.75
46005,-3.658,64.478,3.675,5.585,37.75
46213,-3.658,63.855,3.675,5.585,37.75
46421,-3.683,63.535,3.675,5.585,37.75
46629,-3.708,63.157,3.675,5.585,37.75
46837,-3.708,62.815,3.675,5.585,37.75
47045,-3.734,62.526,3.675,5.585,37.75
47253,-3.759,62.25,3.675,5.585,37.75
47461,-3.759,62.103,3.675,5.585,37.75
47668,-3.785,62.063,3.675,5.585,37.75
47876,-3.81,61.516,3.675,5.585,37.75
48084,-3.81,60.924,3.675,5.585,37.75
48292,-3.835,60.373,3.675,5.585,37.75
48500,-3.861,60.141,3.675,5.585,37.75
48708,-3.861,59.981,3.675,5.585,37.75
48916,-3.886,59.399,3.675,5.585,37.75
49124,-3.912,59.043,3.675,5.585,37.75
49332,-3.912,58.745,3.675,5.585,37.75
49540,-3.937,58.469,3.675,5.585,37.75
49748,-3.962,58.393,3.675,5.585,37.75
49956,-3.962,58.06,3.675,5.585,37.75
50165,-3.988,57.793,3.675,5.585,37.75
50357,-4.013,57.548,3.675,5.585,37.75
50565,-4.013,57.272,3.675,5.585,37.75
50757,-4.039,57.05,3.675,5.585,37.75
50948,-4.064,56.641,3.675,5.585,37.75
51140,-4.064,56.263,3.675,5.585,37.75
51332,-4.089,56.009,3.675,5.585,37.75
51524,-4.089,55.631,3.675,5.585,37.75
51716,-4.115,55.475,3.675,5.585,37.75
51908,-4.14,55.071,3.675,5.585,37.75
52100,-4.14,54.928,3.675,5.585,37.75
