a,b,x,sd,df,sccscs
16,0,10.56,3.675,5.585,37.75
224,-0.025,12.735,3.675,5.585,37.75
432,-0.025,15.528,3.675,5.585,37.75
639,-0.051,17.877,3.675,5.585,37.75
847,-0.051,20.109,3.675,5.585,37.75
1055,-0.076,22.752,3.675,5.585,37.75
1263,-0.076,24.811,3.675,5.585,37.75
1471,-0.102,27.022,3.675,5.585,37.75
1679,-0.127,29.802,3.675,5.585,37.75
1887,-0.127,31.914,3.675,5.585,37.75
2095,-0.152,34.027,3.675,5.585,37.75
2303,-0.152,36.847,3.675,5.585,37.75
2511,-0.178,38.871,3.675,5.585,37.75
2719,-0.178,41.095,3.675,5.585,37.75
2927,-0.203,43.831,3.675,5.585,37.75
3135,-0.229,45.53,3.675,5.585,37.75
3343,-0.229,48.092,3.675,5.585,37.75
3551,-0.254,50.596,3.675,5.585,37.75
3758,-0.254,52.562,3.675,5.585,37.75
3966,-0.279,54.982,3.675,5.585,37.75
4174,-0.305,56.868,3.675,5.585,37.75
4383,-0.305,59.465,3.675,5.585,37.75
4591,-0.33,61.809,3.675,5.585,37.75
4799,-0.33,63.949,3.675,5.585,37.75
5007,-0.356,66.484,3.675,5.585,37.75
5215,-0.381,68.744,3.675,5.585,37.75
5423,-0.381,70.621,3.675,5.585,37.75
5631,-0.406,73.125,3.675,5.585,37.75
5839,-0.406,75.518,3.675,5.585,37.75
6047,-0.432,77.422,3.675,5.585,37.75
6255,-0.457,79.899,3.675,5.585,37.75
6463,-0.457,81.919,3.675,5.585,37.75
6671,-0.483,84.049,3.675,5.585,37.75
6879,-0.483,86.469,3.675,5.585,37.75
7071,-0.508,88.586,3.675,5.585,37.75
7263,-0.533,90.477,3.675,5.585,37.75
7470,-0.533,92.799,3.675,5.585,37.75
7678,-0.559,94.858,3.675,5.585,37.75
7886,-0.559,97.006,3.675,5.585,37.75
8078,-0.584,99.004,3.675,5.585,37.75
8270,-0.61,101.188,3.675,5.585,37.75
8462,-0.61,102.691,3.675,5.585,37.75
8654,-0.635,104.951,3.675,5.585,37.75
8846,-0.635,106.943,3.675,5.585,37.75
9038,-0.66,108.709,3.675,5.585,37.75
9230,-0.66,111.067,3.675,5.585,37.75
9422,-0.686,112.686,3.675,5.585,37.75
9614,-0.711,114.589,3.675,5.585,37.75
9806,-0.711,116.284,3.675,5.585,37.75
9998,-0.737,118.286,3.675,5.585,37.75
