a,b,x,sd,df,sccscs
10190,-0.737,120.158,3.675,5.585,37.75
10382,-0.762,122.031,3.675,5.585,37.75
10574,-0.762,123.979,3.675,5.585,37.75
10766,-0.787,126.056,3.675,5.585,37.75
10957,-0.787,127.457,3.675,5.585,37.75
11149,-0.813,129.49,3.675,5.585,37.75
11341,-0.838,131.056,3.675,5.585,37.75
11533,-0.838,132.582,3.675,5.585,37.75
11725,-0.864,134.583,3.675,5.585,37.75
11917,-0.864,136.02,3.675,5.585,37.75
12109,-0.889,137.634,3.675,5.585,37.75
12301,-0.889,139.049,3.675,5.585,37.75
12493,-0.914,140.495,3.675,5.585,37.75
12701,-0.94,142.149,3.675,5.585,37.75
12909,-0.94,143.332,3.675,5.585,37.75
13117,-0.965,144.516,3.675,5.585,37.75
13325,-0.991,145.983,3.675,5.585,37.75
13533,-0.991,147.22,3.675,5.585,37.75
13741,-1.016,148.141,3.675,5.585,37.75
13949,-1.041,149.52,3.675,5.585,37.75
14156,-1.041,150.098,3.675,5.585,37.75
14364,-1.067,151.219,3.675,5.585,37.75
14572,-1.067,152.531,3.675,5.585,37.75
14780,-1.092,152.985,3.675,5.585,37.75
14988,-1.118,154.039,3.675,5.585,37.75
15196,-1.118,154.826,3.675,5.585,37.75
15404,-1.143,155.297,3.675,5.585,37.75
15612,-1.168,156.312,3.675,5.585,37.75
15820,-1.168,157.094,3.675,5.585,37.75
16028,-1.194,157.459,3.675,5.585,37.75
16236,-1.219,158.322,3.675,5.585,37.75
16444,-1.219,158.878,3.675,5.585,37.75
16652,-1.245,159.323,3.675,5.585,37.75
16860,-1.27,159.968,3.675,5.585,37.75
17068,-1.27,160.377,3.675,5.585,37.75
17276,-1.295,161.013,3.675,5.585,37.75
17483,-1.321,161.365,3.675,5.585,37.75
17692,-1.321,161.778,3.675,5.585,37.75
17899,-1.346,162.058,3.675,5.585,37.75
18107,-1.346,162.454,3.675,5.585,37.75
18315,-1.372,162.832,3.675,5.585,37.75
18523,-1.397,163.157,3.675,5.585,37.75
18731,-1.397,163.317,3.675,5.585,37.75
18939,-1.422,163.695,3.675,5.585,37.75
19147,-1.448,163.629,3.675,5.585,37.75
19355,-1.448,163.744,3.675,5.585,37.75
19563,-1.473,164.14,3.675,5.585,37.75
19771,-1.499,163.927,3.675,5.585,37.75
19979,-1.499,164.162,3.675,5.585,37.75
20187,-1.524,164.403,3.675,5.585,37.75
20395,-1.549,163.891,3.675,5.585,37.75
20587,-1.549,164.029,3.675,5.585,37.75
20779,-1.575,164.251,3.675,5.585,37.75
20987,-1.6,163.375,3.675,5.585,37.75
21178,-1.6,163.139,3.675,5.585,37.75
21370,-1.626,162.299,3.675,5.585,37.75
21562,-1.626,161.142,3.675,5.585,37.75
21754,-1.651,159.883,3.675,5.585,37.75
21947,-1.676,157.344,3.675,5.585,37.75
22139,-1.676,155.311,3.675,5.585,37.75
22331,-1.702,153.291,3.675,5.585,37.75
22523,-1.727,151.859,3.675,5.585,37.75
22715,-1.727,150.356,3.675,5.585,37.75
22907,-1.753,148.523,3.675,5.585,37.75
23099,-1.778,147.06,3.675,5.585,37.75
23291,-1.778,145.899,3.675,5.585,37.75
23483,-1.803,144.244,3.675,5.585,37.75
23675,-1.829,143.51,3.675,5.585,37.75
23867,-1.829,142.243,3.675,5.585,37.75
24059,-1.854,141.273,3.675,5.585,37.75
24251,-1.854,140.708,3.675,5.585,37.75
24459,-1.88,139.543,3.675,5.585,37.75
24667,-1.905,138.284,3.675,5.585,37.75
24874,-1.905,137.683,3.675,5.585,37.75
25082,-1.93,136.594,3.675,5.585,37.75
25290,-1.956,135.735,3.675,5.585,37.75
25498,-1.956,135.384,3.675,5.585,37.75
25706,-1.981,134.236,3.675,5.585,37.75
25914,-2.007,133.729,3.675,5.585,37.75
26122,-2.007,133.267,3.675,5.585,37.75
26330,-2.032,132.235,3.675,5.585,37.75
26538,-2.057,131.665,3.675,5.585,37.75
26746,-2.083,131.585,3.675,5.585,37.75
26954,-2.083,130.713,3.675,5.585,37.75
27162,-2.108,130.389,3.675,5.585,37.75
27370,-2.134,130.206,3.675,5.585,37.75
27578,-2.134,129.379,3.675,5.585,37.75
27786,-2.159,128.965,3.675,5.585,37.75
27994,-2.184,128.787,3.675,5.585,37.75
28202,-2.184,128.049,3.675,5.585,37.75
28409,-2.21,127.671,3.675,5.585,37.75
28617,-2.235,127.382,3.675,5.585,37.75
28825,-2.235,126.514,3.675,5.585,37.75
29033,-2.261,125.709,3.675,5.585,37.75
29241,-2.286,125.474,3.675,5.585,37.75
29449,-2.286,124.473,3.675,5.585,37.75
29657,-2.311,123.548,3.675,5.585,37.75
29865,-2.337,123.227,3.675,5.585,37.75
30073,-2.337,122.089,3.675,5.585,37.75
30281,-2.362,121.092,3.675,5.585,37.75
30489,-2.388,120.848,3.675,5.585,37.75
30697,-2.388,119.856,3.675,5.585,37.75
30905,-2.413,119.073,3.675,5.585,37.75
31113,-2.438,118.851,3.675,5.585,37.75
31321,-2.438,117.885,3.675,5.585,37.75
31529,-2.464,116.929,3.675,5.585,37.75
31736,-2.489,116.644,3.675,5.585,37.75
31944,-2.489,115.537,3.675,5.585,37.75
32152,-2.515,114.772,3.675,5.585,37.75
32360,-2.54,114.269,3.675,5.585,37.75
32568,-2.54,112.824,3.675,5.585,37.75
32760,-2.565,111.996,3.675,5.585,37.75
32952,-2.591,111.253,3.675,5.585,37.75
33144,-2.591,110.466,3.675,5.585,37.75
33336,-2.616,109.474,3.675,5.585,37.75
33528,-2.642,108.331,3.675,5.585,37.75
33720,-2.642,107.264,3.675,5.585,37.75
33912,-2.667,106.085,3.675,5.585,37.75
34104,-2.692,104.839,3.675,5.585,37.75
34296,-2.692,104.217,3.675,5.585,37.75
34488,-2.718,103.274,3.675,5.585,37.75
34680,-2.718,102.642,3.675,5.585,37.75
34872,-2.743,102.033,3.675,5.585,37.75
35079,-2.769,101.134,3.675,5.585,37.75
35287,-2.769,100.302,3.675,5.585,37.75
35495,-2.794,100.356,3.675,5.585,37.75
35687,-2.819,98.915,3.675,5.585,37.75
35895,-2.819,98.394,3.675,5.585,37.75
36103,-2.845,98.061,3.675,5.585,37.75
36311,-2.87,97.127,3.675,5.585,37.75
36519,-2.87,96.753,3.675,5.585,37.75
36727,-2.896,96.059,3.675,5.585,37.75
36935,-2.921,95.49,3.675,5.585,37.75
37143,-2.921,95.236,3.675,5.585,37.75
37351,-2.946,94.636,3.675,5.585,37.75
37559,-2.972,93.653,3.675,5.585,37.75
37767,-2.972,92.919,3.675,5.585,37.75
37975,-2.997,91.669,3.675,5.585,37.75
38183,-3.023,90.757,3.675,5.585,37.75
38390,-3.048,89.907,3.675,5.585,37.75
38599,-3.048,89.294,3.675,5.585,37.75
38807,-3.073,88.92,3.675,5.585,37.75
39014,-3.099,88.444,3.675,5.585,37.75
39222,-3.099,87.87,3.675,5.585,37.75
39431,-3.124,87.612,3.675,5.585,37.75
39639,-3.15,87.052,3.675,5.585,37.75
39847,-3.15,86.313,3.675,5.585,37.75
40055,-3.175,85.673,3.675,5.585,37.75
40263,-3.2,85.006,3.675,5.585,37.75
40471,-3.2,84.227,3.675,5.585,37.75
40679,-3.226,83.52,3.675,5.585,37.75
40887,-3.251,82.884,3.675,5.585,37.75
41095,-3.251,82.239,3.675,5.585,37.75
41303,-3.277,81.741,3.675,5.585,37.75
41511,-3.302,81.483,3.675,5.585,37.75
41719,-3.302,80.976,3.675,5.585,37.75
41927,-3.327,80.335,3.675,5.585,37.75
42135,-3.353,79.833,3.675,5.585,37.75
42342,-3.353,79.157,3.675,5.585,37.75
42550,-3.378,78.378,3.675,5.585,37.75
42758,-3.404,78.04,3.675,5.585,37.75
42966,-3.404,77.146,3.675,5.585,37.75
43174,-3.429,76.59,3.675,5.585,37.75
