a,b,c,d,e,f
0,0,0,4.52,5.545,37.75
16,0,1.699,4.52,5.545,37.75
224,-0.025,2.362,4.52,5.545,37.75
432,-0.025,3.34,4.52,5.545,37.75
640,-0.051,4.186,4.52,5.545,37.75
848,-0.051,5.613,4.52,5.545,37.75
1056,-0.076,6.872,4.52,5.545,37.75
1264,-0.076,8.264,4.52,5.545,37.75
1472,-0.102,9.861,4.52,5.545,37.75
1680,-0.102,11.365,4.52,5.545,37.75
1888,-0.127,12.744,4.52,5.545,37.75
2096,-0.127,14.576,4.52,5.545,37.75
2304,-0.152,16.191,4.52,5.545,37.75
2511,-0.178,17.605,4.52,5.545,37.75
2720,-0.178,19.678,4.52,5.545,37.75
2928,-0.203,21.235,4.52,5.545,37.75
3135,-0.203,22.889,4.52,5.545,37.75
3343,-0.229,25.069,4.52,5.545,37.75
3551,-0.254,26.799,4.52,5.545,37.75
3759,-0.254,28.4,4.52,5.545,37.75
3967,-0.279,30.309,4.52,5.545,37.75
4175,-0.305,31.906,4.52,5.545,37.75
4383,-0.305,33.849,4.52,5.545,37.75
4591,-0.33,35.838,4.52,5.545,37.75
4799,-0.33,37.243,4.52,5.545,37.75
5007,-0.356,39.151,4.52,5.545,37.75
5215,-0.381,41.131,4.52,5.545,37.75
5423,-0.381,42.438,4.52,5.545,37.75
5631,-0.406,44.36,4.52,5.545,37.75
5839,-0.406,46.201,4.52,5.545,37.75
6047,-0.432,47.749,4.52,5.545,37.75
6254,-0.457,49.426,4.52,5.545,37.75
6462,-0.457,51.081,4.52,5.545,37.75
6670,-0.483,52.869,4.52,5.545,37.75
6878,-0.508,54.452,4.52,5.545,37.75
7087,-0.508,56.476,4.52,5.545,37.75
7295,-0.533,57.926,4.52,5.545,37.75
7503,-0.533,59.407,4.52,5.545,37.75
7711,-0.559,61.414,4.52,5.545,37.75
7903,-0.584,62.663,4.52,5.545,37.75
8095,-0.584,64.185,4.52,5.545,37.75
8287,-0.61,65.581,4.52,5.545,37.75
8479,-0.61,67.454,4.52,5.545,37.75
8671,-0.635,69.015,4.52,5.545,37.75
8863,-0.635,70.238,4.52,5.545,37.75
9055,-0.66,71.711,4.52,5.545,37.75
9247,-0.686,73.058,4.52,5.545,37.75
9439,-0.686,74.473,4.52,5.545,37.75
9631,-0.711,76.043,4.52,5.545,37.75
9822,-0.711,77.573,4.52,5.545,37.75
10014,-0.737,78.845,4.52,5.545,37.75
10206,-0.737,80.718,4.52,5.545,37.75
10398,-0.762,81.696,4.52,5.545,37.75
10590,-0.787,83.151,4.52,5.545,37.75
10782,-0.787,84.312,4.52,5.545,37.75
10974,-0.813,85.886,4.52,5.545,37.75
11166,-0.813,87.159,4.52,5.545,37.75
11358,-0.838,88.266,4.52,5.545,37.75
11550,-0.864,89.961,4.52,5.545,37.75
11742,-0.864,91.117,4.52,5.545,37.75
11934,-0.889,92.407,4.52,5.545,37.75
12126,-0.889,93.791,4.52,5.545,37.75
12334,-0.914,95.214,4.52,5.545,37.75
12542,-0.94,96.442,4.52,5.545,37.75
12750,-0.94,97.927,4.52,5.545,37.75
12958,-0.965,99.155,4.52,5.545,37.75
13165,-0.991,100.409,4.52,5.545,37.75
13373,-0.991,101.837,4.52,5.545,37.75
13581,-1.016,102.936,4.52,5.545,37.75
13789,-1.016,104.092,4.52,5.545,37.75
13997,-1.041,105.373,4.52,5.545,37.75
14205,-1.067,106.521,4.52,5.545,37.75
14413,-1.067,107.361,4.52,5.545,37.75
14621,-1.092,108.785,4.52,5.545,37.75
14829,-1.118,109.817,4.52,5.545,37.75
15037,-1.118,110.6,4.52,5.545,37.75
15245,-1.143,111.996,4.52,5.545,37.75
15453,-1.168,112.797,4.52,5.545,37.75
15661,-1.168,113.553,4.52,5.545,37.75
15869,-1.194,114.843,4.52,5.545,37.75
16077,-1.219,115.301,4.52,5.545,37.75
16285,-1.219,116.066,4.52,5.545,37.75
16493,-1.245,117.245,4.52,5.545,37.75
16701,-1.245,117.561,4.52,5.545,37.75
16908,-1.27,118.384,4.52,5.545,37.75
17116,-1.295,119.407,4.52,5.545,37.75
17324,-1.295,119.682,4.52,5.545,37.75
17532,-1.321,120.412,4.52,5.545,37.75
17740,-1.346,121.146,4.52,5.545,37.75
17948,-1.346,121.417,4.52,5.545,37.75
18156,-1.372,122.071,4.52,5.545,37.75
18364,-1.397,122.645,4.52,5.545,37.75
18572,-1.397,123.005,4.52,5.545,37.75
18780,-1.422,123.414,4.52,5.545,37.75
18988,-1.448,123.837,4.52,5.545,37.75
19196,-1.448,124.032,4.52,5.545,37.75
19404,-1.473,124.593,4.52,5.545,37.75
19612,-1.499,125.06,4.52,5.545,37.75
19820,-1.499,125.162,4.52,5.545,37.75
20028,-1.524,125.531,4.52,5.545,37.75
20236,-1.549,125.878,4.52,5.545,37.75
20443,-1.549,125.87,4.52,5.545,37.75
20651,-1.575,126.136,4.52,5.545,37.75
20859,-1.6,126.483,4.52,5.545,37.75
21067,-1.6,126.443,4.52,5.545,37.75
21275,-1.626,126.341,4.52,5.545,37.75
21483,-1.651,126.812,4.52,5.545,37.75
21691,-1.651,126.617,4.52,5.545,37.75
21899,-1.676,126.603,4.52,5.545,37.75
22107,-1.702,126.986,4.52,5.545,37.75
22315,-1.702,126.875,4.52,5.545,37.75
22523,-1.727,126.661,4.52,5.545,37.75
22731,-1.727,127.102,4.52,5.545,37.75
22923,-1.753,126.812,4.52,5.545,37.75
23115,-1.778,126.804,4.52,5.545,37.75
23307,-1.778,126.541,4.52,5.545,37.75
23499,-1.803,126.617,4.52,5.545,37.75
23691,-1.829,126.968,4.52,5.545,37.75
23883,-1.829,126.63,4.52,5.545,37.75
24074,-1.854,126.661,4.52,5.545,37.75
24266,-1.854,126.403,4.52,5.545,37.75
24459,-1.88,126.341,4.52,5.545,37.75
24651,-1.905,126.417,4.52,5.545,37.75
24843,-1.905,126.234,4.52,5.545,37.75
25035,-1.93,126.047,4.52,5.545,37.75
25227,-1.93,125.843,4.52,5.545,37.75
25419,-1.956,125.727,4.52,5.545,37.75
25611,-1.981,125.727,4.52,5.545,37.75
25803,-1.981,125.571,4.52,5.545,37.75
25995,-2.007,125.233,4.52,5.545,37.75
26203,-2.032,125.042,4.52,5.545,37.75
26411,-2.032,124.838,4.52,5.545,37.75
26619,-2.057,124.522,4.52,5.545,37.75
26827,-2.083,124.406,4.52,5.545,37.75
27035,-2.083,123.828,4.52,5.545,37.75
27242,-2.108,123.681,4.52,5.545,37.75
27450,-2.134,123.548,4.52,5.545,37.75
27658,-2.134,123.036,4.52,5.545,37.75
27866,-2.159,122.8,4.52,5.545,37.75
28074,-2.184,122.689,4.52,5.545,37.75
28282,-2.184,122.169,4.52,5.545,37.75
28490,-2.21,121.808,4.52,5.545,37.75
28698,-2.235,121.599,4.52,5.545,37.75
28906,-2.235,120.981,4.52,5.545,37.75
29114,-2.261,120.768,4.52,5.545,37.75
29322,-2.286,120.643,4.52,5.545,37.75
29530,-2.286,119.967,4.52,5.545,37.75
29738,-2.311,119.798,4.52,5.545,37.75
29946,-2.337,119.633,4.52,5.545,37.75
30154,-2.337,118.935,4.52,5.545,37.75
30362,-2.362,118.722,4.52,5.545,37.75
30569,-2.388,118.352,4.52,5.545,37.75
30777,-2.388,117.845,4.52,5.545,37.75
30985,-2.413,117.583,4.52,5.545,37.75
31193,-2.438,117.107,4.52,5.545,37.75
31401,-2.438,116.649,4.52,5.545,37.75
31609,-2.464,116.395,4.52,5.545,37.75
31817,-2.489,115.946,4.52,5.545,37.75
32025,-2.489,115.519,4.52,5.545,37.75
32233,-2.515,115.177,4.52,5.545,37.75
32441,-2.54,114.745,4.52,5.545,37.75
32649,-2.54,114.278,4.52,5.545,37.75
32857,-2.565,113.838,4.52,5.545,37.75
33065,-2.591,113.5,4.52,5.545,37.75
33273,-2.591,112.997,4.52,5.545,37.75
33481,-2.616,112.485,4.52,5.545,37.75
33689,-2.642,112.032,4.52,5.545,37.75
33896,-2.642,111.276,4.52,5.545,37.75
34104,-2.667,110.644,4.52,5.545,37.75
34312,-2.692,110.422,4.52,5.545,37.75
34520,-2.692,109.194,4.52,5.545,37.75
34728,-2.718,106.476,4.52,5.545,37.75
34936,-2.743,103.18,4.52,5.545,37.75
35144,-2.743,100.116,4.52,5.545,37.75
35352,-2.769,97.625,4.52,5.545,37.75
35560,-2.794,95.298,4.52,5.545,37.75
35768,-2.819,93.452,4.52,5.545,37.75
35976,-2.819,92.211,4.52,5.545,37.75
36168,-2.845,90.819,4.52,5.545,37.75
36360,-2.87,89.578,4.52,5.545,37.75
36552,-2.87,88.635,4.52,5.545,37.75
36744,-2.896,87.55,4.52,5.545,37.75
36936,-2.896,86.634,4.52,5.545,37.75
37128,-2.921,85.962,4.52,5.545,37.75
37320,-2.946,84.77,4.52,5.545,37.75
37512,-2.946,83.907,4.52,5.545,37.75
37703,-2.972,82.924,4.52,5.545,37.75
37895,-2.997,82.159,4.52,5.545,37.75
38087,-2.997,81.518,4.52,5.545,37.75
38279,-3.023,80.727,4.52,5.545,37.75
38471,-3.023,79.886,4.52,5.545,37.75
38663,-3.048,78.903,4.52,5.545,37.75
38855,-3.073,78.169,4.52,5.545,37.75
39047,-3.073,77.631,4.52,5.545,37.75
39239,-3.099,76.577,4.52,5.545,37.75
39447,-3.124,75.781,4.52,5.545,37.75
39655,-3.124,74.94,4.52,5.545,37.75
39863,-3.15,73.823,4.52,5.545,37.75
40071,-3.175,72.587,4.52,5.545,37.75
40279,-3.175,71.533,4.52,5.545,37.75
40487,-3.2,70.278,4.52,5.545,37.75
40695,-3.226,69.269,4.52,5.545,37.75
40903,-3.226,68.548,4.52,5.545,37.75
41110,-3.251,67.57,4.52,5.545,37.75
41318,-3.277,66.836,4.52,5.545,37.75
41526,-3.277,66.035,4.52,5.545,37.75
41734,-3.302,63.896,4.52,5.545,37.75
41943,-3.404,0,4.52,5.545,37.75
42151,-3.429,-0.085,4.52,5.545,37.75
42359,-3.429,-0.044,4.52,5.545,37.75
42567,-3.454,-0.085,4.52,5.545,37.75
42775,-3.48,-0.08,4.52,5.545,37.75
42983,-3.48,-0.133,4.52,5.545,37.75
43191,-3.505,-0.178,4.52,5.545,37.75
43399,-3.531,-0.133,4.52,5.545,37.75
43607,-3.531,-0.187,4.52,5.545,37.75
43815,-3.556,-0.085,4.52,5.545,37.75
44023,-3.581,-0.053,4.52,5.545,37.75
44231,-3.581,-0.187,4.52,5.545,37.75
