A,b,c,L (mm),b (mm),h (mm)
0,0,0,37.75,3.12,12.78
16,0,1.948,37.75,3.12,12.78
223,-0.025,2.793,37.75,3.12,12.78
431,-0.051,3.99,37.75,3.12,12.78
638,-0.051,6.272,37.75,3.12,12.78
846,-0.076,8.669,37.75,3.12,12.78
1053,-0.076,12.236,37.75,3.12,12.78
1261,-0.102,15.052,37.75,3.12,12.78
1468,-0.127,18.299,37.75,3.12,12.78
1676,-0.127,22.053,37.75,3.12,12.78
1883,-0.152,24.264,37.75,3.12,12.78
2091,-0.152,26.644,37.75,3.12,12.78
2298,-0.178,29.886,37.75,3.12,12.78
2506,-0.178,32.017,37.75,3.12,12.78
2713,-0.203,35.126,37.75,3.12,12.78
2921,-0.203,38.662,37.75,3.12,12.78
3128,-0.229,40.833,37.75,3.12,12.78
3336,-0.229,44.489,37.75,3.12,12.78
3543,-0.254,48.363,37.75,3.12,12.78
3751,-0.254,50.698,37.75,3.12,12.78
3958,-0.279,54.008,37.75,3.12,12.78
4166,-0.305,57.637,37.75,3.12,12.78
4373,-0.305,60.044,37.75,3.12,12.78
4580,-0.33,63.335,37.75,3.12,12.78
4788,-0.33,65.915,37.75,3.12,12.78
4995,-0.356,69.38,37.75,3.12,12.78
5203,-0.356,72.409,37.75,3.12,12.78
5410,-0.381,74.758,37.75,3.12,12.78
5618,-0.381,78.111,37.75,3.12,12.78
5826,-0.406,80.767,37.75,3.12,12.78
6033,-0.432,83.569,37.75,3.12,12.78
6240,-0.432,86.932,37.75,3.12,12.78
6448,-0.457,89.507,37.75,3.12,12.78
6655,-0.457,92.638,37.75,3.12,12.78
6863,-0.483,96.055,37.75,3.12,12.78
7070,-0.508,98.875,37.75,3.12,12.78
7278,-0.508,101.984,37.75,3.12,12.78
7485,-0.533,104.782,37.75,3.12,12.78
7693,-0.533,108.149,37.75,3.12,12.78
7900,-0.559,110.889,37.75,3.12,12.78
8108,-0.559,113.691,37.75,3.12,12.78
8315,-0.584,116.933,37.75,3.12,12.78
8523,-0.61,119.74,37.75,3.12,12.78
8730,-0.61,122.453,37.75,3.12,12.78
8938,-0.635,125.563,37.75,3.12,12.78
9145,-0.635,127.978,37.75,3.12,12.78
9353,-0.66,130.833,37.75,3.12,12.78
9560,-0.686,134.027,37.75,3.12,12.78
9768,-0.686,136.176,37.75,3.12,12.78
9975,-0.711,139.133,37.75,3.12,12.78
10182,-0.711,142.074,37.75,3.12,12.78
10390,-0.737,144.271,37.75,3.12,12.78
10597,-0.737,147.14,37.75,3.12,12.78
10805,-0.762,149.64,37.75,3.12,12.78
11012,-0.787,152.259,37.75,3.12,12.78
11220,-0.787,155.097,37.75,3.12,12.78
11427,-0.813,157.686,37.75,3.12,12.78
11635,-0.813,159.799,37.75,3.12,12.78
11842,-0.838,162.601,37.75,3.12,12.78
12050,-0.864,164.932,37.75,3.12,12.78
12257,-0.864,167.436,37.75,3.12,12.78
12465,-0.889,170.149,37.75,3.12,12.78
12672,-0.914,172.605,37.75,3.12,12.78
12880,-0.914,174.78,37.75,3.12,12.78
13087,-0.94,177.279,37.75,3.12,12.78
13295,-0.94,179.739,37.75,3.12,12.78
13502,-0.965,182.008,37.75,3.12,12.78
13710,-0.991,184.263,37.75,3.12,12.78
13917,-0.991,186.878,37.75,3.12,12.78
14125,-1.016,188.893,37.75,3.12,12.78
14332,-1.016,191.148,37.75,3.12,12.78
14540,-1.041,193.866,37.75,3.12,12.78
14747,-1.041,195.596,37.75,3.12,12.78
14955,-1.067,198.087,37.75,3.12,12.78
15162,-1.092,200.609,37.75,3.12,12.78
15370,-1.092,202.148,37.75,3.12,12.78
15577,-1.118,204.644,37.75,3.12,12.78
15785,-1.118,207.428,37.75,3.12,12.78
15992,-1.143,208.722,37.75,3.12,12.78
16199,-1.168,211.102,37.75,3.12,12.78
16407,-1.168,213.758,37.75,3.12,12.78
