A,b,c,L (mm),b (mm),h (mm)
16614,-1.194,215.003,37.75,3.12,12.78
16822,-1.219,217.494,37.75,3.12,12.78
17029,-1.219,220.069,37.75,3.12,12.78
17238,-1.245,221.172,37.75,3.12,12.78
17445,-1.245,223.708,37.75,3.12,12.78
17653,-1.27,225.678,37.75,3.12,12.78
17861,-1.295,227.021,37.75,3.12,12.78
18068,-1.295,229.601,37.75,3.12,12.78
18276,-1.321,231.954,37.75,3.12,12.78
18483,-1.321,233.231,37.75,3.12,12.78
18691,-1.346,235.468,37.75,3.12,12.78
18899,-1.372,237.332,37.75,3.12,12.78
19106,-1.372,238.911,37.75,3.12,12.78
19314,-1.397,241.082,37.75,3.12,12.78
19521,-1.422,243.119,37.75,3.12,12.78
19729,-1.422,244.613,37.75,3.12,12.78
19937,-1.448,246.802,37.75,3.12,12.78
20144,-1.448,248.732,37.75,3.12,12.78
20351,-1.473,249.969,37.75,3.12,12.78
20559,-1.499,251.85,37.75,3.12,12.78
20767,-1.499,254.257,37.75,3.12,12.78
20974,-1.524,255.493,37.75,3.12,12.78
21182,-1.549,257.139,37.75,3.12,12.78
21389,-1.549,259.487,37.75,3.12,12.78
21596,-1.575,260.021,37.75,3.12,12.78
21804,-1.575,262.37,37.75,3.12,12.78
22012,-1.6,264.861,37.75,3.12,12.78
22219,-1.626,265.328,37.75,3.12,12.78
22427,-1.626,267.627,37.75,3.12,12.78
22634,-1.651,269.851,37.75,3.12,12.78
22841,-1.651,270.305,37.75,3.12,12.78
23049,-1.676,272.667,37.75,3.12,12.78
23257,-1.702,274.886,37.75,3.12,12.78
23464,-1.702,275.269,37.75,3.12,12.78
23672,-1.727,277.729,37.75,3.12,12.78
23879,-1.753,279.334,37.75,3.12,12.78
24086,-1.753,280.193,37.75,3.12,12.78
24294,-1.778,282.363,37.75,3.12,12.78
24501,-1.778,284.232,37.75,3.12,12.78
24709,-1.803,284.974,37.75,3.12,12.78
24916,-1.829,287.279,37.75,3.12,12.78
25124,-1.829,288.101,37.75,3.12,12.78
25331,-1.854,289.725,37.75,3.12,12.78
25539,-1.88,291.317,37.75,3.12,12.78
25746,-1.88,292.483,37.75,3.12,12.78
25954,-1.905,294.164,37.75,3.12,12.78
26161,-1.93,296.232,37.75,3.12,12.78
26369,-1.93,297.144,37.75,3.12,12.78
26576,-1.956,298.576,37.75,3.12,12.78
26784,-1.956,300.164,37.75,3.12,12.78
26991,-1.981,301.534,37.75,3.12,12.78
27199,-2.007,302.949,37.75,3.12,12.78
27406,-2.007,304.595,37.75,3.12,12.78
27614,-2.032,305.84,37.75,3.12,12.78
27821,-2.057,306.69,37.75,3.12,12.78
28029,-2.057,308.758,37.75,3.12,12.78
28236,-2.083,310.123,37.75,3.12,12.78
28444,-2.108,310.893,37.75,3.12,12.78
28651,-2.108,313.17,37.75,3.12,12.78
28859,-2.134,314.1,37.75,3.12,12.78
29067,-2.134,315.199,37.75,3.12,12.78
29274,-2.159,317.116,37.75,3.12,12.78
29482,-2.184,317.752,37.75,3.12,12.78
29689,-2.184,319.019,37.75,3.12,12.78
29896,-2.21,321.261,37.75,3.12,12.78
30104,-2.235,321.813,37.75,3.12,12.78
30311,-2.235,322.938,37.75,3.12,12.78
30519,-2.261,325.064,37.75,3.12,12.78
30727,-2.286,325.527,37.75,3.12,12.78
30934,-2.286,326.768,37.75,3.12,12.78
31142,-2.311,328.947,37.75,3.12,12.78
31349,-2.311,329.472,37.75,3.12,12.78
31556,-2.337,330.589,37.75,3.12,12.78
31764,-2.362,332.546,37.75,3.12,12.78
31971,-2.362,332.951,37.75,3.12,12.78
32179,-2.388,334.298,37.75,3.12,12.78
32386,-2.413,336.398,37.75,3.12,12.78
32594,-2.413,337.007,37.75,3.12,12.78
32801,-2.438,338.075,37.75,3.12,12.78
33009,-2.464,339.449,37.75,3.12,12.78
33216,-2.464,340.285,37.75,3.12,12.78
33424,-2.489,341.504,37.75,3.12,12.78
33631,-2.515,342.972,37.75,3.12,12.78
33839,-2.515,343.991,37.75,3.12,12.78
34046,-2.54,344.653,37.75,3.12,12.78
34254,-2.54,346.49,37.75,3.12,12.78
34461,-2.565,347.464,37.75,3.12,12.78
34669,-2.591,348.274,37.75,3.12,12.78
34877,-2.591,349.924,37.75,3.12,12.78
35084,-2.616,350.827,37.75,3.12,12.78
35292,-2.642,351.525,37.75,3.12,12.78
35499,-2.642,353.349,37.75,3.12,12.78
35707,-2.667,354.114,37.75,3.12,12.78
35914,-2.692,354.737,37.75,3.12,12.78
36122,-2.692,356.916,37.75,3.12,12.78
36329,-2.718,357.148,37.75,3.12,12.78
36536,-2.743,357.975,37.75,3.12,12.78
36728,-2.743,360.132,37.75,3.12,12.78
36920,-2.769,360.07,37.75,3.12,12.78
37111,-2.769,361.329,37.75,3.12,12.78
37303,-2.794,361.662,37.75,3.12,12.78
37494,-2.819,362.89,37.75,3.12,12.78
37686,-2.819,364.442,37.75,3.12,12.78
37893,-2.845,364.349,37.75,3.12,12.78
38101,-2.845,366.044,37.75,3.12,12.78
38292,-2.87,367.863,37.75,3.12,12.78
38484,-2.896,367.689,37.75,3.12,12.78
38692,-2.896,369.162,37.75,3.12,12.78
38899,-2.921,369.562,37.75,3.12,12.78
39090,-2.946,370.056,37.75,3.12,12.78
39282,-2.946,371.653,37.75,3.12,12.78
39474,-2.972,372.298,37.75,3.12,12.78
39681,-2.972,373.152,37.75,3.12,12.78
39873,-2.997,374.944,37.75,3.12,12.78
40080,-3.023,374.513,37.75,3.12,12.78
40288,-3.023,371.057,37.75,3.12,12.78
40495,-3.023,368.57,37.75,3.12,12.78
40703,-3.023,366.271,37.75,3.12,12.78
40910,-3.023,364.402,37.75,3.12,12.78
41118,-3.023,362.61,37.75,3.12,12.78
41325,-3.023,360.977,37.75,3.12,12.78
41533,-3.023,359.474,37.75,3.12,12.78
41740,-3.023,357.993,37.75,3.12,12.78
41948,-3.023,356.796,37.75,3.12,12.78
42155,-3.023,355.6,37.75,3.12,12.78
42363,-3.023,354.394,37.75,3.12,12.78
42570,-3.023,353.256,37.75,3.12,12.78
42778,-3.023,352.237,37.75,3.12,12.78
42986,-3.023,351.263,37.75,3.12,12.78
43193,-3.023,350.262,37.75,3.12,12.78
43401,-3.023,349.253,37.75,3.12,12.78
43608,-3.023,348.327,37.75,3.12,12.78
43816,-3.023,347.553,37.75,3.12,12.78
44023,-3.023,346.677,37.75,3.12,12.78
44231,-3.023,345.832,37.75,3.12,12.78
44438,-3.023,345.129,37.75,3.12,12.78
44646,-3.023,344.333,37.75,3.12,12.78
44853,-3.023,343.59,37.75,3.12,12.78
45061,-3.023,342.763,37.75,3.12,12.78
45268,-3.023,342.198,37.75,3.12,12.78
45476,-3.023,341.517,37.75,3.12,12.78
45684,-3.023,340.73,37.75,3.12,12.78
45891,-3.023,340.036,37.75,3.12,12.78
46099,-3.023,339.462,37.75,3.12,12.78
46306,-3.023,338.804,37.75,3.12,12.78
46514,-3.023,338.133,37.75,3.12,12.78
46721,-3.023,337.585,37.75,3.12,12.78
46929,-3.023,337.078,37.75,3.12,12.78
47136,-3.023,336.433,37.75,3.12,12.78
47344,-3.023,335.868,37.75,3.12,12.78
47551,-3.023,335.33,37.75,3.12,12.78
47759,-3.023,334.85,37.75,3.12,12.78
47966,-3.023,334.232,37.75,3.12,12.78
48174,-3.023,333.667,37.75,3.12,12.78
48381,-3.023,333.137,37.75,3.12,12.78
48589,-3.023,332.786,37.75,3.12,12.78
48796,-3.023,332.114,37.75,3.12,12.78
49004,-3.023,331.665,37.75,3.12,12.78
49211,-3.023,331.247,37.75,3.12,12.78
49419,-3.023,330.744,37.75,3.12,12.78
49626,-3.023,330.273,37.75,3.12,12.78
49834,-3.023,329.784,37.75,3.12,12.78
50041,-3.023,329.428,37.75,3.12,12.78
50249,-3.023,328.974,37.75,3.12,12.78
50456,-3.023,328.431,37.75,3.12,12.78
50664,-3.023,328.009,37.75,3.12,12.78
50871,-3.023,327.586,37.75,3.12,12.78
51079,-3.023,327.124,37.75,3.12,12.78
