Time,Displacement(mm),Load(N),L (mm),b (mm),h (mm)
23836,-1.88,47.393,37.75,12.71,3.15
24043,-1.905,47.687,37.75,12.71,3.15
24236,-1.905,48.061,37.75,12.71,3.15
24427,-1.93,48.247,37.75,12.71,3.15
24619,-1.93,48.657,37.75,12.71,3.15
24811,-1.956,48.763,37.75,12.71,3.15
25002,-1.981,48.968,37.75,12.71,3.15
25193,-1.981,49.293,37.75,12.71,3.15
25385,-2.007,49.44,37.75,12.71,3.15
25577,-2.007,49.818,37.75,12.71,3.15
25785,-2.032,50.04,37.75,12.71,3.15
25992,-2.057,50.311,37.75,12.71,3.15
26200,-2.057,50.565,37.75,12.71,3.15
26407,-2.083,50.916,37.75,12.71,3.15
26615,-2.108,51.192,37.75,12.71,3.15
26823,-2.108,51.321,37.75,12.71,3.15
27030,-2.134,51.761,37.75,12.71,3.15
27238,-2.159,52.082,37.75,12.71,3.15
27445,-2.159,52.148,37.75,12.71,3.15
27653,-2.184,52.509,37.75,12.71,3.15
27860,-2.184,52.629,37.75,12.71,3.15
28068,-2.21,52.949,37.75,12.71,3.15
28276,-2.235,53.074,37.75,12.71,3.15
28483,-2.235,53.523,37.75,12.71,3.15
28691,-2.261,53.634,37.75,12.71,3.15
28899,-2.286,54.132,37.75,12.71,3.15
29106,-2.286,54.479,37.75,12.71,3.15
29313,-2.311,54.568,37.75,12.71,3.15
29521,-2.337,54.626,37.75,12.71,3.15
29728,-2.337,54.991,37.75,12.71,3.15
29936,-2.362,55.08,37.75,12.71,3.15
30143,-2.388,55.467,37.75,12.71,3.15
30351,-2.388,55.689,37.75,12.71,3.15
30558,-2.413,55.969,37.75,12.71,3.15
30766,-2.413,56.16,37.75,12.71,3.15
30973,-2.438,56.485,37.75,12.71,3.15
31181,-2.464,56.756,37.75,12.71,3.15
31388,-2.464,56.917,37.75,12.71,3.15
31596,-2.489,57.228,37.75,12.71,3.15
31803,-2.515,57.304,37.75,12.71,3.15
32011,-2.515,57.624,37.75,12.71,3.15
32218,-2.54,57.9,37.75,12.71,3.15
32426,-2.565,58.149,37.75,12.71,3.15
32634,-2.565,58.242,37.75,12.71,3.15
32841,-2.591,58.558,37.75,12.71,3.15
33049,-2.616,58.851,37.75,12.71,3.15
33256,-2.616,59.136,37.75,12.71,3.15
33464,-2.642,59.234,37.75,12.71,3.15
33671,-2.667,59.483,37.75,12.71,3.15
33879,-2.667,59.706,37.75,12.71,3.15
34086,-2.692,59.981,37.75,12.71,3.15
34294,-2.718,60.19,37.75,12.71,3.15
34501,-2.718,60.293,37.75,12.71,3.15
34709,-2.743,60.502,37.75,12.71,3.15
34916,-2.743,60.737,37.75,12.71,3.15
35124,-2.769,60.871,37.75,12.71,3.15
35331,-2.794,61.218,37.75,12.71,3.15
35539,-2.794,61.431,37.75,12.71,3.15
35746,-2.819,61.596,37.75,12.71,3.15
35954,-2.845,61.845,37.75,12.71,3.15
36161,-2.845,62.21,37.75,12.71,3.15
36369,-2.87,62.187,37.75,12.71,3.15
36576,-2.896,62.512,37.75,12.71,3.15
36784,-2.896,62.735,37.75,12.71,3.15
36991,-2.921,62.824,37.75,12.71,3.15
37199,-2.921,63.099,37.75,12.71,3.15
37406,-2.946,63.388,37.75,12.71,3.15
37614,-2.972,63.402,37.75,12.71,3.15
37821,-2.972,63.718,37.75,12.71,3.15
38045,-2.997,63.758,37.75,12.71,3.15
38268,-2.997,63.295,37.75,12.71,3.15
38492,-2.997,62.944,37.75,12.71,3.15
38715,-2.997,62.628,37.75,12.71,3.15
38939,-2.997,62.232,37.75,12.71,3.15
39162,-2.997,62.001,37.75,12.71,3.15
39385,-2.997,61.854,37.75,12.71,3.15
39609,-2.997,61.494,37.75,12.71,3.15
39832,-2.997,61.298,37.75,12.71,3.15
40056,-2.997,61.147,37.75,12.71,3.15
40279,-2.997,60.911,37.75,12.71,3.15
40503,-2.997,60.657,37.75,12.71,3.15
40727,-2.997,60.511,37.75,12.71,3.15
40951,-2.997,60.395,37.75,12.71,3.15
41174,-2.997,60.199,37.75,12.71,3.15
41397,-2.997,59.955,37.75,12.71,3.15
41622,-2.997,59.839,37.75,12.71,3.15
41846,-2.997,59.723,37.75,12.71,3.15
42069,-2.997,59.443,37.75,12.71,3.15
42292,-2.997,59.412,37.75,12.71,3.15
42516,-2.997,59.243,37.75,12.71,3.15
42740,-2.997,59.136,37.75,12.71,3.15
42963,-2.997,59.021,37.75,12.71,3.15
43187,-2.997,58.816,37.75,12.71,3.15
43411,-2.997,58.66,37.75,12.71,3.15
43634,-2.997,58.665,37.75,12.71,3.15
43858,-2.997,58.509,37.75,12.71,3.15
44081,-2.997,58.349,37.75,12.71,3.15
44305,-2.997,58.269,37.75,12.71,3.15
44528,-2.997,58.109,37.75,12.71,3.15
44752,-2.997,58.033,37.75,12.71,3.15
44976,-2.997,57.873,37.75,12.71,3.15
45199,-2.997,57.797,37.75,12.71,3.15
45423,-2.997,57.717,37.75,12.71,3.15
45646,-2.997,57.557,37.75,12.71,3.15
45869,-2.997,57.477,37.75,12.71,3.15
46093,-2.997,57.353,37.75,12.71,3.15
46316,-2.997,57.286,37.75,12.71,3.15
46540,-2.997,57.161,37.75,12.71,3.15
46763,-2.997,56.997,37.75,12.71,3.15
46987,-2.997,56.917,37.75,12.71,3.15
47210,-2.997,56.792,37.75,12.71,3.15
47434,-2.997,56.765,37.75,12.71,3.15
47657,-2.997,56.685,37.75,12.71,3.15
47881,-2.997,56.601,37.75,12.71,3.15
48104,-2.997,56.53,37.75,12.71,3.15
48328,-2.997,56.441,37.75,12.71,3.15
48551,-2.997,56.37,37.75,12.71,3.15
48774,-2.997,56.294,37.75,12.71,3.15
48998,-2.997,56.134,37.75,12.71,3.15
49221,-2.997,56.045,37.75,12.71,3.15
49445,-2.997,55.92,37.75,12.71,3.15
49668,-2.997,55.889,37.75,12.71,3.15
49892,-2.997,55.894,37.75,12.71,3.15
50115,-2.997,55.769,37.75,12.71,3.15
