Time,Displacement(mm),Load(N),L (mm),b (mm),h (mm)
0,0,0,37.75,12.71,3.15
16,0,1.45,37.75,12.71,3.15
223,0,1.819,37.75,12.71,3.15
431,-0.025,2.197,37.75,12.71,3.15
638,-0.025,2.54,37.75,12.71,3.15
846,-0.051,2.882,37.75,12.71,3.15
1053,-0.076,3.492,37.75,12.71,3.15
1261,-0.076,3.816,37.75,12.71,3.15
1468,-0.102,4.323,37.75,12.71,3.15
1676,-0.127,4.702,37.75,12.71,3.15
1868,-0.127,5.258,37.75,12.71,3.15
2060,-0.152,5.894,37.75,12.71,3.15
2267,-0.178,6.441,37.75,12.71,3.15
2474,-0.178,6.943,37.75,12.71,3.15
2682,-0.203,7.575,37.75,12.71,3.15
2889,-0.229,7.931,37.75,12.71,3.15
3097,-0.229,8.545,37.75,12.71,3.15
3304,-0.254,9.176,37.75,12.71,3.15
3512,-0.279,9.643,37.75,12.71,3.15
3719,-0.279,10.186,37.75,12.71,3.15
3927,-0.305,10.826,37.75,12.71,3.15
4134,-0.33,11.498,37.75,12.71,3.15
4341,-0.33,11.836,37.75,12.71,3.15
4549,-0.356,12.33,37.75,12.71,3.15
4756,-0.356,12.744,37.75,12.71,3.15
4964,-0.381,13.291,37.75,12.71,3.15
5171,-0.406,13.891,37.75,12.71,3.15
5363,-0.406,14.207,37.75,12.71,3.15
5571,-0.432,14.629,37.75,12.71,3.15
5778,-0.457,15.31,37.75,12.71,3.15
5985,-0.457,15.977,37.75,12.71,3.15
6193,-0.483,16.311,37.75,12.71,3.15
6385,-0.508,16.644,37.75,12.71,3.15
6592,-0.508,17.236,37.75,12.71,3.15
6801,-0.533,17.641,37.75,12.71,3.15
7008,-0.533,18.108,37.75,12.71,3.15
7216,-0.559,18.339,37.75,12.71,3.15
7423,-0.584,18.971,37.75,12.71,3.15
7615,-0.584,19.416,37.75,12.71,3.15
7822,-0.61,19.798,37.75,12.71,3.15
8030,-0.635,20.39,37.75,12.71,3.15
8237,-0.635,20.545,37.75,12.71,3.15
8445,-0.66,21.115,37.75,12.71,3.15
8637,-0.686,21.715,37.75,12.71,3.15
8844,-0.686,22.031,37.75,12.71,3.15
9052,-0.711,22.454,37.75,12.71,3.15
9259,-0.737,23.085,37.75,12.71,3.15
9451,-0.737,23.37,37.75,12.71,3.15
9658,-0.762,23.735,37.75,12.71,3.15
9850,-0.762,24.282,37.75,12.71,3.15
10042,-0.787,24.553,37.75,12.71,3.15
10233,-0.813,25.02,37.75,12.71,3.15
10424,-0.813,25.305,37.75,12.71,3.15
10616,-0.838,25.589,37.75,12.71,3.15
10808,-0.838,26.043,37.75,12.71,3.15
10999,-0.864,26.63,37.75,12.71,3.15
11191,-0.864,26.87,37.75,12.71,3.15
11382,-0.889,27.329,37.75,12.71,3.15
11574,-0.914,27.524,37.75,12.71,3.15
11765,-0.914,27.947,37.75,12.71,3.15
11957,-0.94,28.267,37.75,12.71,3.15
12149,-0.94,28.641,37.75,12.71,3.15
12341,-0.965,28.965,37.75,12.71,3.15
12532,-0.991,29.241,37.75,12.71,3.15
12724,-0.991,29.61,37.75,12.71,3.15
12916,-1.016,30.104,37.75,12.71,3.15
13107,-1.016,30.491,37.75,12.71,3.15
13299,-1.041,30.762,37.75,12.71,3.15
13490,-1.067,31.198,37.75,12.71,3.15
13682,-1.067,31.514,37.75,12.71,3.15
13874,-1.092,31.741,37.75,12.71,3.15
14065,-1.092,32.159,37.75,12.71,3.15
14257,-1.118,32.524,37.75,12.71,3.15
14448,-1.143,32.857,37.75,12.71,3.15
14640,-1.143,33.178,37.75,12.71,3.15
14832,-1.168,33.502,37.75,12.71,3.15
15024,-1.168,33.747,37.75,12.71,3.15
15215,-1.194,34.245,37.75,12.71,3.15
15407,-1.219,34.521,37.75,12.71,3.15
15598,-1.219,34.855,37.75,12.71,3.15
15790,-1.245,35.317,37.75,12.71,3.15
15981,-1.245,35.499,37.75,12.71,3.15
16173,-1.27,35.815,37.75,12.71,3.15
16364,-1.295,36.109,37.75,12.71,3.15
16556,-1.295,36.474,37.75,12.71,3.15
16747,-1.321,36.758,37.75,12.71,3.15
16939,-1.321,37.043,37.75,12.71,3.15
17130,-1.346,37.372,37.75,12.71,3.15
17322,-1.346,37.532,37.75,12.71,3.15
17514,-1.372,37.924,37.75,12.71,3.15
17705,-1.397,38.426,37.75,12.71,3.15
17897,-1.397,38.711,37.75,12.71,3.15
18088,-1.422,38.991,37.75,12.71,3.15
18280,-1.448,39.316,37.75,12.71,3.15
18471,-1.448,39.601,37.75,12.71,3.15
18663,-1.473,39.965,37.75,12.71,3.15
18854,-1.473,40.005,37.75,12.71,3.15
19046,-1.499,40.526,37.75,12.71,3.15
19237,-1.499,40.944,37.75,12.71,3.15
19429,-1.524,41.14,37.75,12.71,3.15
19620,-1.549,41.335,37.75,12.71,3.15
19812,-1.549,41.531,37.75,12.71,3.15
20004,-1.575,41.954,37.75,12.71,3.15
20195,-1.6,42.229,37.75,12.71,3.15
20387,-1.6,42.665,37.75,12.71,3.15
20578,-1.626,42.874,37.75,12.71,3.15
20770,-1.626,43.252,37.75,12.71,3.15
20961,-1.651,43.386,37.75,12.71,3.15
21153,-1.676,43.55,37.75,12.71,3.15
21345,-1.676,43.96,37.75,12.71,3.15
21536,-1.702,44.186,37.75,12.71,3.15
21728,-1.702,44.516,37.75,12.71,3.15
21920,-1.727,44.636,37.75,12.71,3.15
22111,-1.727,45.085,37.75,12.71,3.15
22303,-1.753,45.232,37.75,12.71,3.15
22494,-1.778,45.556,37.75,12.71,3.15
22686,-1.778,45.765,37.75,12.71,3.15
22878,-1.803,46.037,37.75,12.71,3.15
23069,-1.803,46.321,37.75,12.71,3.15
23261,-1.829,46.606,37.75,12.71,3.15
23453,-1.854,46.837,37.75,12.71,3.15
23644,-1.854,47.26,37.75,12.71,3.15
