Time,Displacement(mm),Load(N),L (mm),b (mm),h (mm)
0,0,0,37.75,12.7,3.23
16,0,1.121,37.75,12.7,3.23
208,-0.025,1.263,37.75,12.7,3.23
399,-0.025,1.655,37.75,12.7,3.23
591,-0.051,1.864,37.75,12.7,3.23
798,-0.051,2.228,37.75,12.7,3.23
1006,-0.076,2.718,37.75,12.7,3.23
1213,-0.102,3.051,37.75,12.7,3.23
1421,-0.102,3.647,37.75,12.7,3.23
1628,-0.127,4.159,37.75,12.7,3.23
1836,-0.152,4.613,37.75,12.7,3.23
2043,-0.152,5.373,37.75,12.7,3.23
2251,-0.178,5.885,37.75,12.7,3.23
2458,-0.203,6.556,37.75,12.7,3.23
2666,-0.203,7.117,37.75,12.7,3.23
2873,-0.229,7.748,37.75,12.7,3.23
3081,-0.254,8.247,37.75,12.7,3.23
3288,-0.254,8.896,37.75,12.7,3.23
3496,-0.279,9.43,37.75,12.7,3.23
3703,-0.305,10.021,37.75,12.7,3.23
3911,-0.305,10.524,37.75,12.7,3.23
4118,-0.33,11.196,37.75,12.7,3.23
4325,-0.33,11.832,37.75,12.7,3.23
4533,-0.356,12.245,37.75,12.7,3.23
4741,-0.381,12.913,37.75,12.7,3.23
4948,-0.381,13.464,37.75,12.7,3.23
5156,-0.406,14.051,37.75,12.7,3.23
5363,-0.432,14.687,37.75,12.7,3.23
5571,-0.432,15.141,37.75,12.7,3.23
5778,-0.457,15.635,37.75,12.7,3.23
5986,-0.483,16.493,37.75,12.7,3.23
6193,-0.483,16.676,37.75,12.7,3.23
6401,-0.508,17.352,37.75,12.7,3.23
6608,-0.533,17.716,37.75,12.7,3.23
6816,-0.533,18.255,37.75,12.7,3.23
7023,-0.559,18.922,37.75,12.7,3.23
7230,-0.584,19.375,37.75,12.7,3.23
7438,-0.584,19.923,37.75,12.7,3.23
7646,-0.61,20.47,37.75,12.7,3.23
7854,-0.635,20.874,37.75,12.7,3.23
8061,-0.635,21.417,37.75,12.7,3.23
8269,-0.66,22.04,37.75,12.7,3.23
8476,-0.66,22.356,37.75,12.7,3.23
8684,-0.686,22.863,37.75,12.7,3.23
8892,-0.711,23.405,37.75,12.7,3.23
9099,-0.711,23.89,37.75,12.7,3.23
9307,-0.737,24.295,37.75,12.7,3.23
9514,-0.762,24.851,37.75,12.7,3.23
9722,-0.762,25.336,37.75,12.7,3.23
