a,b,c,L (mm),b (mm),h (mm)
27405,-1.981,285.219,37.75,3.17,12.68
27613,-2.007,286.723,37.75,3.17,12.68
27820,-2.032,288.395,37.75,3.17,12.68
28028,-2.032,289.213,37.75,3.17,12.68
28235,-2.057,290.094,37.75,3.17,12.68
28443,-2.083,292.269,37.75,3.17,12.68
28651,-2.083,292.954,37.75,3.17,12.68
28859,-2.108,293.902,37.75,3.17,12.68
29066,-2.108,296.215,37.75,3.17,12.68
29274,-2.134,296.668,37.75,3.17,12.68
29481,-2.159,297.607,37.75,3.17,12.68
29689,-2.159,299.764,37.75,3.17,12.68
29897,-2.184,300.182,37.75,3.17,12.68
30104,-2.21,301.348,37.75,3.17,12.68
30312,-2.21,303.532,37.75,3.17,12.68
30519,-2.235,303.518,37.75,3.17,12.68
30727,-2.261,304.982,37.75,3.17,12.68
30934,-2.261,307.072,37.75,3.17,12.68
31142,-2.286,307.05,37.75,3.17,12.68
31349,-2.286,308.576,37.75,3.17,12.68
31557,-2.311,309.532,37.75,3.17,12.68
31764,-2.337,310.679,37.75,3.17,12.68
31971,-2.337,312.076,37.75,3.17,12.68
32180,-2.362,312.508,37.75,3.17,12.68
32387,-2.388,314.015,37.75,3.17,12.68
32594,-2.388,315.474,37.75,3.17,12.68
32802,-2.413,316.137,37.75,3.17,12.68
33009,-2.438,317.507,37.75,3.17,12.68
33217,-2.438,318.566,37.75,3.17,12.68
33425,-2.464,319.393,37.75,3.17,12.68
33632,-2.489,320.741,37.75,3.17,12.68
33840,-2.489,321.675,37.75,3.17,12.68
34047,-2.515,322.796,37.75,3.17,12.68
34255,-2.515,324.148,37.75,3.17,12.68
34462,-2.54,324.886,37.75,3.17,12.68
34669,-2.565,325.932,37.75,3.17,12.68
34877,-2.565,327.279,37.75,3.17,12.68
35084,-2.591,328.205,37.75,3.17,12.68
35292,-2.616,329.108,37.75,3.17,12.68
35499,-2.616,330.429,37.75,3.17,12.68
35707,-2.642,331.291,37.75,3.17,12.68
35914,-2.667,332.199,37.75,3.17,12.68
36122,-2.667,333.44,37.75,3.17,12.68
36329,-2.692,334.329,37.75,3.17,12.68
36537,-2.692,335.49,37.75,3.17,12.68
36744,-2.718,336.144,37.75,3.17,12.68
36952,-2.743,337.634,37.75,3.17,12.68
37159,-2.743,338.324,37.75,3.17,12.68
37367,-2.769,339.027,37.75,3.17,12.68
37574,-2.794,340.561,37.75,3.17,12.68
37782,-2.794,341.357,37.75,3.17,12.68
37989,-2.819,342.269,37.75,3.17,12.68
38197,-2.845,343.648,37.75,3.17,12.68
38404,-2.845,343.906,37.75,3.17,12.68
38612,-2.87,345.036,37.75,3.17,12.68
38819,-2.896,346.708,37.75,3.17,12.68
39026,-2.896,347.18,37.75,3.17,12.68
39234,-2.921,348.181,37.75,3.17,12.68
39442,-2.946,349.51,37.75,3.17,12.68
39649,-2.946,349.737,37.75,3.17,12.68
39857,-2.972,350.934,37.75,3.17,12.68
40064,-2.997,352.371,37.75,3.17,12.68
40288,-2.997,351.468,37.75,3.17,12.68
40511,-2.997,348.403,37.75,3.17,12.68
40734,-2.997,345.948,37.75,3.17,12.68
40958,-2.997,343.893,37.75,3.17,12.68
41181,-2.997,342.02,37.75,3.17,12.68
41405,-2.997,340.312,37.75,3.17,12.68
41628,-2.997,338.72,37.75,3.17,12.68
41852,-2.997,337.394,37.75,3.17,12.68
42075,-2.997,336.024,37.75,3.17,12.68
42299,-2.997,334.774,37.75,3.17,12.68
42522,-2.997,333.631,37.75,3.17,12.68
42746,-2.997,332.479,37.75,3.17,12.68
42969,-2.997,331.541,37.75,3.17,12.68
43192,-2.997,330.535,37.75,3.17,12.68
43416,-2.997,329.49,37.75,3.17,12.68
43639,-2.997,328.609,37.75,3.17,12.68
43863,-2.997,327.657,37.75,3.17,12.68
44086,-2.997,326.786,37.75,3.17,12.68
44310,-2.997,326.03,37.75,3.17,12.68
44533,-2.997,325.167,37.75,3.17,12.68
44756,-2.997,324.375,37.75,3.17,12.68
44980,-2.997,323.552,37.75,3.17,12.68
45203,-2.997,322.947,37.75,3.17,12.68
45427,-2.997,322.195,37.75,3.17,12.68
45650,-2.997,321.537,37.75,3.17,12.68
45874,-2.997,320.905,37.75,3.17,12.68
46098,-2.997,320.252,37.75,3.17,12.68
46322,-2.997,319.558,37.75,3.17,12.68
46545,-2.997,318.855,37.75,3.17,12.68
46768,-2.997,318.29,37.75,3.17,12.68
46992,-2.997,317.73,37.75,3.17,12.68
47215,-2.997,317.174,37.75,3.17,12.68
47439,-2.997,316.564,37.75,3.17,12.68
47662,-2.997,316.039,37.75,3.17,12.68
47886,-2.997,315.448,37.75,3.17,12.68
48109,-2.997,314.936,37.75,3.17,12.68
48333,-2.997,314.349,37.75,3.17,12.68
48556,-2.997,313.922,37.75,3.17,12.68
48779,-2.997,313.286,37.75,3.17,12.68
49003,-2.997,312.912,37.75,3.17,12.68
49226,-2.997,312.463,37.75,3.17,12.68
49434,-2.997,311.934,37.75,3.17,12.68
49658,-2.997,311.556,37.75,3.17,12.68
