Time,Displacement(mm),Load(N),L (mm),b (mm),h (mm)
0,0,0,37.75,12.68,3.12
16,0,1.045,37.75,12.68,3.12
223,0,1.526,37.75,12.68,3.12
415,-0.025,1.824,37.75,12.68,3.12
623,-0.051,2.019,37.75,12.68,3.12
830,-0.051,2.415,37.75,12.68,3.12
1037,-0.076,2.58,37.75,12.68,3.12
1245,-0.102,2.998,37.75,12.68,3.12
1437,-0.102,3.292,37.75,12.68,3.12
1644,-0.127,3.825,37.75,12.68,3.12
1852,-0.127,4.252,37.75,12.68,3.12
2059,-0.152,4.662,37.75,12.68,3.12
2267,-0.178,5.226,37.75,12.68,3.12
2474,-0.178,5.413,37.75,12.68,3.12
2666,-0.203,5.974,37.75,12.68,3.12
2873,-0.229,6.45,37.75,12.68,3.12
3081,-0.229,6.89,37.75,12.68,3.12
3288,-0.254,7.281,37.75,12.68,3.12
3496,-0.279,7.78,37.75,12.68,3.12
3703,-0.279,8.167,37.75,12.68,3.12
3895,-0.305,8.638,37.75,12.68,3.12
4102,-0.33,8.967,37.75,12.68,3.12
4310,-0.33,9.212,37.75,12.68,3.12
4517,-0.356,9.71,37.75,12.68,3.12
4725,-0.381,10.177,37.75,12.68,3.12
4917,-0.381,10.613,37.75,12.68,3.12
5124,-0.406,11.027,37.75,12.68,3.12
5332,-0.406,11.218,37.75,12.68,3.12
5539,-0.432,11.885,37.75,12.68,3.12
5747,-0.457,12.067,37.75,12.68,3.12
5954,-0.457,12.57,37.75,12.68,3.12
6161,-0.483,13.002,37.75,12.68,3.12
6369,-0.508,13.464,37.75,12.68,3.12
6576,-0.508,13.798,37.75,12.68,3.12
6784,-0.533,14.002,37.75,12.68,3.12
6991,-0.559,14.634,37.75,12.68,3.12
7199,-0.559,14.834,37.75,12.68,3.12
7406,-0.584,15.266,37.75,12.68,3.12
7598,-0.61,15.679,37.75,12.68,3.12
7805,-0.61,16.008,37.75,12.68,3.12
8013,-0.635,16.378,37.75,12.68,3.12
8220,-0.635,16.711,37.75,12.68,3.12
8427,-0.66,17.014,37.75,12.68,3.12
8619,-0.686,17.516,37.75,12.68,3.12
8826,-0.686,17.703,37.75,12.68,3.12
9018,-0.711,18.094,37.75,12.68,3.12
9227,-0.737,18.521,37.75,12.68,3.12
9434,-0.737,18.837,37.75,12.68,3.12
9642,-0.762,19.042,37.75,12.68,3.12
9849,-0.787,19.589,37.75,12.68,3.12
10041,-0.787,19.794,37.75,12.68,3.12
10248,-0.813,20.127,37.75,12.68,3.12
10439,-0.838,20.501,37.75,12.68,3.12
10631,-0.838,20.55,37.75,12.68,3.12
10823,-0.864,21.079,37.75,12.68,3.12
11014,-0.864,21.497,37.75,12.68,3.12
11206,-0.889,21.608,37.75,12.68,3.12
11397,-0.914,22.08,37.75,12.68,3.12
11589,-0.914,22.236,37.75,12.68,3.12
11780,-0.94,22.534,37.75,12.68,3.12
11972,-0.94,22.783,37.75,12.68,3.12
12164,-0.965,23.103,37.75,12.68,3.12
12355,-0.965,23.49,37.75,12.68,3.12
12547,-0.991,23.77,37.75,12.68,3.12
12738,-1.016,24.028,37.75,12.68,3.12
12930,-1.016,24.313,37.75,12.68,3.12
13121,-1.041,24.575,37.75,12.68,3.12
13313,-1.041,24.851,37.75,12.68,3.12
13504,-1.067,25.251,37.75,12.68,3.12
13696,-1.092,25.469,37.75,12.68,3.12
13887,-1.092,25.847,37.75,12.68,3.12
14079,-1.118,26.003,37.75,12.68,3.12
14270,-1.143,26.243,37.75,12.68,3.12
14462,-1.143,26.546,37.75,12.68,3.12
14653,-1.168,26.737,37.75,12.68,3.12
14845,-1.168,27.066,37.75,12.68,3.12
15036,-1.194,27.564,37.75,12.68,3.12
15228,-1.194,27.644,37.75,12.68,3.12
15420,-1.219,27.902,37.75,12.68,3.12
15611,-1.245,28.071,37.75,12.68,3.12
15803,-1.245,28.423,37.75,12.68,3.12
15994,-1.27,28.627,37.75,12.68,3.12
16186,-1.27,28.921,37.75,12.68,3.12
16377,-1.295,29.126,37.75,12.68,3.12
16569,-1.321,29.375,37.75,12.68,3.12
16760,-1.321,29.659,37.75,12.68,3.12
16952,-1.346,30.22,37.75,12.68,3.12
17144,-1.346,30.149,37.75,12.68,3.12
17335,-1.372,30.482,37.75,12.68,3.12
17526,-1.397,30.687,37.75,12.68,3.12
17718,-1.397,30.971,37.75,12.68,3.12
17910,-1.422,31.221,37.75,12.68,3.12
18101,-1.422,31.425,37.75,12.68,3.12
18293,-1.448,31.607,37.75,12.68,3.12
18484,-1.473,31.897,37.75,12.68,3.12
18676,-1.473,32.19,37.75,12.68,3.12
18867,-1.499,32.493,37.75,12.68,3.12
19059,-1.499,32.555,37.75,12.68,3.12
19250,-1.524,32.889,37.75,12.68,3.12
19442,-1.549,33.004,37.75,12.68,3.12
19633,-1.549,33.418,37.75,12.68,3.12
19825,-1.575,33.582,37.75,12.68,3.12
20017,-1.575,33.867,37.75,12.68,3.12
20208,-1.6,34.072,37.75,12.68,3.12
20400,-1.626,34.45,37.75,12.68,3.12
20591,-1.626,34.481,37.75,12.68,3.12
20783,-1.651,34.77,37.75,12.68,3.12
20974,-1.651,34.975,37.75,12.68,3.12
21166,-1.676,35.21,37.75,12.68,3.12
21357,-1.676,35.499,37.75,12.68,3.12
21549,-1.702,35.749,37.75,12.68,3.12
21740,-1.727,35.989,37.75,12.68,3.12
21932,-1.727,36.189,37.75,12.68,3.12
22139,-1.753,36.434,37.75,12.68,3.12
22331,-1.778,36.678,37.75,12.68,3.12
22522,-1.778,36.869,37.75,12.68,3.12
22714,-1.803,37.127,37.75,12.68,3.12
22905,-1.803,37.412,37.75,12.68,3.12
23097,-1.829,37.572,37.75,12.68,3.12
23289,-1.854,37.812,37.75,12.68,3.12
23480,-1.854,37.924,37.75,12.68,3.12
