Time,Displacement(mm),Load(N),L (mm),b (mm),h (mm)
23672,-1.88,38.168,37.75,12.68,3.12
23863,-1.88,38.693,37.75,12.68,3.12
24055,-1.905,38.662,37.75,12.68,3.12
24262,-1.93,38.951,37.75,12.68,3.12
24454,-1.93,38.907,37.75,12.68,3.12
24661,-1.956,39.351,37.75,12.68,3.12
24853,-1.956,39.547,37.75,12.68,3.12
25060,-1.981,39.738,37.75,12.68,3.12
25252,-2.007,40.041,37.75,12.68,3.12
25459,-2.007,40.37,37.75,12.68,3.12
25651,-2.032,40.428,37.75,12.68,3.12
25858,-2.057,40.73,37.75,12.68,3.12
26066,-2.057,41.055,37.75,12.68,3.12
26273,-2.083,41.206,37.75,12.68,3.12
26481,-2.108,41.375,37.75,12.68,3.12
26689,-2.108,41.571,37.75,12.68,3.12
26897,-2.134,41.896,37.75,12.68,3.12
27104,-2.159,41.967,37.75,12.68,3.12
27312,-2.159,42.434,37.75,12.68,3.12
27519,-2.184,42.527,37.75,12.68,3.12
27727,-2.184,42.696,37.75,12.68,3.12
27934,-2.21,43.092,37.75,12.68,3.12
28142,-2.235,43.399,37.75,12.68,3.12
28349,-2.235,43.386,37.75,12.68,3.12
28557,-2.261,43.59,37.75,12.68,3.12
28764,-2.286,43.742,37.75,12.68,3.12
28972,-2.286,44.026,37.75,12.68,3.12
29179,-2.311,44.146,37.75,12.68,3.12
29387,-2.337,44.404,37.75,12.68,3.12
29594,-2.337,44.631,37.75,12.68,3.12
29802,-2.362,44.871,37.75,12.68,3.12
30009,-2.388,45.027,37.75,12.68,3.12
30217,-2.388,45.276,37.75,12.68,3.12
30424,-2.413,45.476,37.75,12.68,3.12
30632,-2.413,45.596,37.75,12.68,3.12
30839,-2.438,45.917,37.75,12.68,3.12
31047,-2.464,46.117,37.75,12.68,3.12
31254,-2.464,46.281,37.75,12.68,3.12
31462,-2.489,46.353,37.75,12.68,3.12
31669,-2.515,46.726,37.75,12.68,3.12
31877,-2.515,46.829,37.75,12.68,3.12
32084,-2.54,46.998,37.75,12.68,3.12
32292,-2.565,47.229,37.75,12.68,3.12
32499,-2.565,47.522,37.75,12.68,3.12
32707,-2.591,47.558,37.75,12.68,3.12
32914,-2.616,47.798,37.75,12.68,3.12
33122,-2.616,48.034,37.75,12.68,3.12
33329,-2.642,48.199,37.75,12.68,3.12
33537,-2.642,48.425,37.75,12.68,3.12
33744,-2.667,48.639,37.75,12.68,3.12
33952,-2.692,48.719,37.75,12.68,3.12
34159,-2.692,49.182,37.75,12.68,3.12
34367,-2.718,49.168,37.75,12.68,3.12
34574,-2.743,49.23,37.75,12.68,3.12
34782,-2.743,49.493,37.75,12.68,3.12
34989,-2.769,49.72,37.75,12.68,3.12
35197,-2.794,49.88,37.75,12.68,3.12
35405,-2.794,49.96,37.75,12.68,3.12
35612,-2.819,50.28,37.75,12.68,3.12
35820,-2.845,50.516,37.75,12.68,3.12
36027,-2.845,50.752,37.75,12.68,3.12
36235,-2.87,50.836,37.75,12.68,3.12
36442,-2.896,51.001,37.75,12.68,3.12
36650,-2.896,51.032,37.75,12.68,3.12
36858,-2.921,51.312,37.75,12.68,3.12
37065,-2.946,51.463,37.75,12.68,3.12
37273,-2.946,51.632,37.75,12.68,3.12
37481,-2.972,51.868,37.75,12.68,3.12
37688,-2.972,52.157,37.75,12.68,3.12
37912,-2.997,52.117,37.75,12.68,3.12
38135,-2.997,51.672,37.75,12.68,3.12
38359,-2.997,51.352,37.75,12.68,3.12
38582,-2.997,51.205,37.75,12.68,3.12
38806,-2.997,50.836,37.75,12.68,3.12
39030,-2.997,50.556,37.75,12.68,3.12
39253,-2.997,50.391,37.75,12.68,3.12
39476,-2.997,50.111,37.75,12.68,3.12
39700,-2.997,50.04,37.75,12.68,3.12
39924,-2.997,49.84,37.75,12.68,3.12
40147,-2.997,49.729,37.75,12.68,3.12
40370,-2.997,49.52,37.75,12.68,3.12
40594,-2.997,49.404,37.75,12.68,3.12
40817,-2.997,49.248,37.75,12.68,3.12
41041,-2.997,49.084,37.75,12.68,3.12
41264,-2.997,48.919,37.75,12.68,3.12
41488,-2.997,48.803,37.75,12.68,3.12
41711,-2.997,48.603,37.75,12.68,3.12
41935,-2.997,48.559,37.75,12.68,3.12
42158,-2.997,48.399,37.75,12.68,3.12
42382,-2.997,48.363,37.75,12.68,3.12
42605,-2.997,48.158,37.75,12.68,3.12
42829,-2.997,48.118,37.75,12.68,3.12
43052,-2.997,47.923,37.75,12.68,3.12
43276,-2.997,47.798,37.75,12.68,3.12
43499,-2.997,47.674,37.75,12.68,3.12
43722,-2.997,47.638,37.75,12.68,3.12
43946,-2.997,47.562,37.75,12.68,3.12
44170,-2.997,47.487,37.75,12.68,3.12
44394,-2.997,47.278,37.75,12.68,3.12
44617,-2.997,47.278,37.75,12.68,3.12
44841,-2.997,47.202,37.75,12.68,3.12
45064,-2.997,47.122,37.75,12.68,3.12
45287,-2.997,46.953,37.75,12.68,3.12
45511,-2.997,46.966,37.75,12.68,3.12
45734,-2.997,46.842,37.75,12.68,3.12
45958,-2.997,46.762,37.75,12.68,3.12
46181,-2.997,46.633,37.75,12.68,3.12
46405,-2.997,46.602,37.75,12.68,3.12
46628,-2.997,46.433,37.75,12.68,3.12
46851,-2.997,46.486,37.75,12.68,3.12
47075,-2.997,46.406,37.75,12.68,3.12
47299,-2.997,46.281,37.75,12.68,3.12
47522,-2.997,46.197,37.75,12.68,3.12
47745,-2.997,46.166,37.75,12.68,3.12
47969,-2.997,45.988,37.75,12.68,3.12
48192,-2.997,45.997,37.75,12.68,3.12
48416,-2.997,45.917,37.75,12.68,3.12
48639,-2.997,45.846,37.75,12.68,3.12
48863,-2.997,45.797,37.75,12.68,3.12
49086,-2.997,45.668,37.75,12.68,3.12
49309,-2.997,45.645,37.75,12.68,3.12
49533,-2.997,45.636,37.75,12.68,3.12
49756,-2.997,45.556,37.75,12.68,3.12
49980,-2.997,45.387,37.75,12.68,3.12
50203,-2.997,45.347,37.75,12.68,3.12
50427,-2.997,45.316,37.75,12.68,3.12
50650,-2.997,45.276,37.75,12.68,3.12
50874,-2.997,45.192,37.75,12.68,3.12
51097,-2.997,45.027,37.75,12.68,3.12
51320,-2.997,45.076,37.75,12.68,3.12
51544,-2.997,45.08,37.75,12.68,3.12
51767,-2.997,44.996,37.75,12.68,3.12
51991,-2.997,44.863,37.75,12.68,3.12
52214,-2.997,44.747,37.75,12.68,3.12
52438,-2.997,44.747,37.75,12.68,3.12
52661,-2.997,44.751,37.75,12.68,3.12
52885,-2.997,44.716,37.75,12.68,3.12
53108,-2.997,44.636,37.75,12.68,3.12
53331,-2.997,44.596,37.75,12.68,3.12
53555,-2.997,44.556,37.75,12.68,3.12
53778,-2.997,44.422,37.75,12.68,3.12
54002,-2.997,44.48,37.75,12.68,3.12
54225,-2.997,44.347,37.75,12.68,3.12
54449,-2.997,44.315,37.75,12.68,3.12
54672,-2.997,44.222,37.75,12.68,3.12
54896,-2.997,44.231,37.75,12.68,3.12
55119,-2.997,44.146,37.75,12.68,3.12
55342,-2.997,44.106,37.75,12.68,3.12
55566,-2.997,44.026,37.75,12.68,3.12
55789,-2.997,44.066,37.75,12.68,3.12
56013,-2.997,43.995,37.75,12.68,3.12
56236,-2.997,43.906,37.75,12.68,3.12
56460,-2.997,43.866,37.75,12.68,3.12
56683,-2.997,43.822,37.75,12.68,3.12
56907,-2.997,43.782,37.75,12.68,3.12
57130,-2.997,43.702,37.75,12.68,3.12
57354,-2.997,43.662,37.75,12.68,3.12
57577,-2.997,43.67,37.75,12.68,3.12
57801,-2.997,43.63,37.75,12.68,3.12
58024,-2.997,43.63,37.75,12.68,3.12
58247,-2.997,43.55,37.75,12.68,3.12
58471,-2.997,43.461,37.75,12.68,3.12
58694,-2.997,43.381,37.75,12.68,3.12
58918,-2.997,43.421,37.75,12.68,3.12
59141,-2.997,43.341,37.75,12.68,3.12
59365,-2.997,43.257,37.75,12.68,3.12
59588,-2.997,43.306,37.75,12.68,3.12
59812,-2.997,43.221,37.75,12.68,3.12
60035,-2.997,43.141,37.75,12.68,3.12
60258,-2.997,43.186,37.75,12.68,3.12
60482,-2.997,43.097,37.75,12.68,3.12
60705,-2.997,43.061,37.75,12.68,3.12
60929,-2.997,43.074,37.75,12.68,3.12
61152,-2.997,42.945,37.75,12.68,3.12
61376,-2.997,42.937,37.75,12.68,3.12
61600,-2.997,42.905,37.75,12.68,3.12
61824,-2.997,42.776,37.75,12.68,3.12
62047,-2.997,42.816,37.75,12.68,3.12
62271,-2.997,42.776,37.75,12.68,3.12
62494,-2.997,42.776,37.75,12.68,3.12
62718,-2.997,42.696,37.75,12.68,3.12
62941,-2.997,42.741,37.75,12.68,3.12
63164,-2.997,42.661,37.75,12.68,3.12
63388,-2.997,42.661,37.75,12.68,3.12
63611,-2.997,42.661,37.75,12.68,3.12
63835,-2.997,42.576,37.75,12.68,3.12
64058,-2.997,42.496,37.75,12.68,3.12
64282,-2.997,42.452,37.75,12.68,3.12
64505,-2.997,42.456,37.75,12.68,3.12
64729,-2.997,42.372,37.75,12.68,3.12
64952,-2.997,42.332,37.75,12.68,3.12
65175,-2.997,42.381,37.75,12.68,3.12
65399,-2.997,42.336,37.75,12.68,3.12
65622,-2.997,42.3,37.75,12.68,3.12
65846,-2.997,42.256,37.75,12.68,3.12
66069,-2.997,42.256,37.75,12.68,3.12
66293,-2.997,42.176,37.75,12.68,3.12
66516,-2.997,42.14,37.75,12.68,3.12
66724,-2.997,42.176,37.75,12.68,3.12
66947,-2.997,42.145,37.75,12.68,3.12
67171,-2.997,42.007,37.75,12.68,3.12
67394,-2.997,41.976,37.75,12.68,3.12
67618,-2.997,42.011,37.75,12.68,3.12
67841,-2.997,41.927,37.75,12.68,3.12
68065,-2.997,41.931,37.75,12.68,3.12
68288,-2.997,41.931,37.75,12.68,3.12
68496,-2.997,41.851,37.75,12.68,3.12
68719,-2.997,41.851,37.75,12.68,3.12
68927,-2.997,41.816,37.75,12.68,3.12
69150,-2.997,41.771,37.75,12.68,3.12
69374,-2.997,41.727,37.75,12.68,3.12
69581,-2.997,41.687,37.75,12.68,3.12
69805,-2.997,41.691,37.75,12.68,3.12
70013,-2.997,41.7,37.75,12.68,3.12
70220,-2.997,41.691,37.75,12.68,3.12
70428,-2.997,41.571,37.75,12.68,3.12
70651,-2.997,41.571,37.75,12.68,3.12
70859,-2.997,41.527,37.75,12.68,3.12
71066,-2.997,41.527,37.75,12.68,3.12
71274,-2.997,41.491,37.75,12.68,3.12
71481,-2.997,41.491,37.75,12.68,3.12
71689,-2.997,41.491,37.75,12.68,3.12
71897,-2.997,41.411,37.75,12.68,3.12
72104,-2.997,41.451,37.75,12.68,3.12
72312,-2.997,41.371,37.75,12.68,3.12
72519,-2.997,41.326,37.75,12.68,3.12
72727,-2.997,41.322,37.75,12.68,3.12
72934,-2.997,41.291,37.75,12.68,3.12
73142,-2.997,41.246,37.75,12.68,3.12
73349,-2.997,41.246,37.75,12.68,3.12
73557,-2.997,41.206,37.75,12.68,3.12
73764,-2.997,41.206,37.75,12.68,3.12
73972,-2.997,41.162,37.75,12.68,3.12
74179,-2.997,41.122,37.75,12.68,3.12
74387,-2.997,41.122,37.75,12.68,3.12
74594,-2.997,41.082,37.75,12.68,3.12
74802,-2.997,41.086,37.75,12.68,3.12
75009,-2.997,41.086,37.75,12.68,3.12
75217,-2.997,41.042,37.75,12.68,3.12
75424,-2.997,41.055,37.75,12.68,3.12
75632,-2.997,41.006,37.75,12.68,3.12
75839,-2.997,40.922,37.75,12.68,3.12
76047,-2.997,40.922,37.75,12.68,3.12
76254,-2.997,40.922,37.75,12.68,3.12
76462,-2.997,40.837,37.75,12.68,3.12
76669,-2.997,40.882,37.75,12.68,3.12
76877,-2.997,40.842,37.75,12.68,3.12
77084,-2.997,40.793,37.75,12.68,3.12
77292,-2.997,40.806,37.75,12.68,3.12
77500,-2.997,40.721,37.75,12.68,3.12
77707,-2.997,40.761,37.75,12.68,3.12
77915,-2.997,40.713,37.75,12.68,3.12
78122,-2.997,40.632,37.75,12.68,3.12
78330,-2.997,40.681,37.75,12.68,3.12
78537,-2.997,40.646,37.75,12.68,3.12
78745,-2.997,40.641,37.75,12.68,3.12
78952,-2.997,40.597,37.75,12.68,3.12
79161,-2.997,40.597,37.75,12.68,3.12
79368,-2.997,40.597,37.75,12.68,3.12
79576,-2.997,40.615,37.75,12.68,3.12
79783,-2.997,40.517,37.75,12.68,3.12
79991,-2.997,40.437,37.75,12.68,3.12
80198,-2.997,40.437,37.75,12.68,3.12
80406,-2.997,40.53,37.75,12.68,3.12
80614,-2.997,40.437,37.75,12.68,3.12
80821,-2.997,40.397,37.75,12.68,3.12
81028,-2.997,40.397,37.75,12.68,3.12
81236,-2.997,40.357,37.75,12.68,3.12
81444,-2.997,40.308,37.75,12.68,3.12
81651,-2.997,40.366,37.75,12.68,3.12
81859,-2.997,40.317,37.75,12.68,3.12
82066,-2.997,40.326,37.75,12.68,3.12
82273,-2.997,40.317,37.75,12.68,3.12
82481,-2.997,40.237,37.75,12.68,3.12
