Load (N),Displacement (mm),V (mV),L,b (mm),h (mm)
1.39,0,21,37.75,6.25,1.59
5.71,0.0762,34,37.75,6.25,1.59
16.5,0.127,71.7,37.75,6.25,1.59
22.4,0.1778,89.9,37.75,6.25,1.59
30.9,0.2286,116.6,37.75,6.25,1.59
38.9,0.2794,141.8,37.75,6.25,1.59
47.5,0.3302,168.8,37.75,6.25,1.59
56.7,0.4064,198.6,37.75,6.25,1.59
67.8,0.4572,234.7,37.75,6.25,1.59
76,0.5334,264.6,37.75,6.25,1.59
,,,,,
