Load (N),Displacement (mm),V (mV),L,b (mm),h (mm)
1.1,0,2.2,37.75,6.25,1.55
3.3,0.0508,9.2,37.75,6.25,1.55
8.8,0.1016,27.5,37.75,6.25,1.55
17.1,0.1524,54.7,37.75,6.25,1.55
23,0.2032,73.6,37.75,6.25,1.55
31.2,0.254,100,37.75,6.25,1.55
39.9,0.3048,128.7,37.75,6.25,1.55
48.7,0.381,157.2,37.75,6.25,1.55
60.2,0.4318,194.1,37.75,6.25,1.55
66.8,0.4826,216.1,37.75,6.25,1.55
,,,,,
